id,rank,rikishi,w,l
1,O1e,Akebono,13,2
1287,O1w,Konishiki,10,5
2,S1e,Takahanada,11,4
12,S1w,Kotonishiki,7,8
4,S2eHD,Musashimaru,10,5
1301,S2wHD,Kirishima,0,0
45,K1e,Daishoho,4,11
1302,K1w,Takamisugi,4,11
9,M1e,Akinoshima,9,6
44,M1w,Kushimaumi,7,8
157,M2e,Tomoefuji,6,9
49,M2w,Misugisato,7,8
3,M3e,Wakahanada,10,5
1290,M3w,Wakashoyo,10,5
51,M4e,Daizen,5,10
60,M4w,Toyonoumi,7,8
33,M5e,Terao,6,9
18,M5w,Takatoriki,5,10
23,M6e,Tochinowaka,8,7
1295,M6w,Kyokudozan,8,7
5,M7e,Takanonami,10,5
30,M7w,Kitakachidoki,7,8
48,M8e,Oginohana,8,7
14,M8w,Kotonowaka,6,9
1311,M9e,Kototsubaki,0,0
1288,M9w,Kotobeppu,8,6
53,M10e,Tokitsunada,3,12
28,M10w,Mitoizumi,8,7
1296,M11e,Kasugafuji,6,9
1310,M11w,Kirinishiki,0,5
37,M12e,Kotoinazuma,9,6
1309,M12w,Tamakairiki,2,13
160,M13e,Tatsuhikari,2,13
1299,M13w,Kiraiho,8,7
1294,M14e,Naminohana,10,5
1307,M14w,Daishoyama,12,3
1292,M15e,Kotogaume,2,3
1303,M15w,Kotofuji,9,6
42,M16e,Mainoumi,9,6
1305,M16w,Kyokugozan,4,11
67,J1e,Tochinofuji,9,6
1306,J1w,Hitachiryu,9,6
1286,J2e,Kenko,9,6
15,J2w,Oginishiki,8,7
7,J3e,Kaio,8,7
26,J3w,Higonoumi,9,6
11,J4e,Aogiyama,11,4
1313,J4w,Komafudo,6,9
87,J5e,Wakanoyama,7,8
1315,J5w,Enazakura,10,5
1317,J6e,Hananokuni,7,8
1327,J6w,Yoshinobori,3,12
52,J7e,Tomonohana,9,6
1285,J7w,Asahisato,8,7
91,J8e,Hoshiandesu,6,9
16,J8w,Minatofuji,6,9
1323,J9e,Kumao,6,9
55,J9w,Zenshinyama,8,7
1319,J10e,Tachihikari,6,9
209,J10w,Asanonami,10,5
34,J11e,Asanowaka,10,5
77,J11w,Yutakafuji,8,7
1326,J12e,Tsunenoyama,0,9
25,J12w,Hamanoshima,10,5
1325,J13e,Wakatosho,8,7
1324,J13w,Terunoumi,8,7
21,Ms1e,Asahiyutaka,2,6
59,Ms1w,Kanesaku,3,4
1322,Ms2e,Hidenoumi,4,3
36,Ms2w,Ozawa,5,2
62,Ms3e,Daishi,4,3
82,Ms3w,Tochitenko,4,3
1289,Ms4e,Rikio,3,4
1341,Ms4w,Seifuriki,3,4
1329,Ms5e,Daigaku,0,0
29,Ms5w,Kotonakano,4,3
110,Ms6e,Wakakaze,2,5
108,Ms6w,Ominato,3,4
1297,Ms7e,Dairyu,5,2
1393,Ms7w,Daishoryu,3,4
20,Ms8e,Yoshitane,6,1
1394,Ms8w,Wakadozan,2,5
145,Ms9e,Mineyama,3,4
1318,Ms9w,Shigenoumi,4,3
1395,Ms10e,Daitengo,4,3
1328,Ms10w,Yamanakayama,4,3
1336,Ms11e,Nakajima,4,3
1392,Ms11w,Akinokuni,2,5
1330,Ms12e,Ryogoku,0,0
1468,Ms12w,Narayama,1,6
73,Ms13e,Kanechika,5,2
133,Ms13w,Genkai,3,4
76,Ms14e,Hoshitango,2,5
1715,Ms14w,Masakaze,3,4
140,Ms15e,Ohidake,4,3
174,Ms15w,Mutsuhokkai,4,3
241,Ms16e,Tatsutanaka,4,3
1291,Ms16w,Sunahama,3,4
1473,Ms17e,Kisenomori,3,4
1331,Ms17w,Saganobori,0,0
1507,Ms18e,Jinryu,5,2
22,Ms18w,Wakatenryu,5,2
1373,Ms19e,Fukunosato,6,1
54,Ms19w,Nishidayama,4,3
1520,Ms20e,Hidenohana,1,6
24,Ms20w,Ganyu,0,1
238,Ms21e,Umenosato,6,1
1513,Ms21w,Godoriki,4,3
1649,Ms22e,Kosenryu,4,3
70,Ms22w,Kitazakura,5,2
1570,Ms23e,Kiyominato,2,5
1384,Ms23w,Takamio,3,4
142,Ms24e,Tsujimoto,1,6
68,Ms24w,Goto,2,5
1355,Ms25e,Goken,3,3
196,Ms25w,Kakehata,2,5
1390,Ms26e,Kondo,4,3
1340,Ms26w,Taishin,5,2
1763,Ms27e,Amagifuji,4,3
1293,Ms27w,Chiyonowaka,3,4
1469,Ms28e,Yohoyama,3,4
143,Ms28w,Daiden,5,2
74,Ms29e,Kotononada,0,0
372,Ms29w,Chokairyu,5,2
1537,Ms30e,Kiryuyama,1,6
79,Ms30w,Kotofujimoto,4,3
1609,Ms31e,Takamiwaka,3,4
119,Ms31w,Takamihana,3,4
1344,Ms32e,Akinomine,4,3
1642,Ms32w,Raiko,3,4
1536,Ms33e,Fusayutaka,2,5
191,Ms33w,Kiyonofuji,5,2
1500,Ms34e,Hokutoasahi,2,5
1634,Ms34w,Hidezakura,2,5
1440,Ms35e,Kototohaku,0,0
120,Ms35w,Dodoyama,3,4
1831,Ms36e,Hoshikakuo,2,5
1772,Ms36w,Araya,1,6
85,Ms37e,Daikiyama,5,2
1464,Ms37w,Tochigeno,3,4
1314,Ms38e,Owakamatsu,4,3
144,Ms38w,Ikemori,6,1
1461,Ms39e,Musashiryu,4,3
1492,Ms39w,Kusunosato,4,3
1567,Ms40e,Oshimayama,2,1
242,Ms40w,Hidakayama,3,4
2047,Ms41e,Ozora,5,2
151,Ms41w,Fukunoryu,3,4
1428,Ms42e,Daikaizan,4,3
1586,Ms42w,Daishinki,3,4
1546,Ms43e,Kishinosato,3,4
66,Ms43w,Wakahayato,5,2
1620,Ms44e,Isamigoma,2,5
1599,Ms44w,Matsumusashi,0,7
1591,Ms45e,Yamanoumi,4,3
1577,Ms45w,Tenraiyama,4,3
1776,Ms46e,Fusakaze,5,2
1707,Ms46w,Fujinoumi,3,4
234,Ms47e,Kotoasaki,6,1
109,Ms47w,Arauma,4,3
1490,Ms48e,Kototaikai,2,5
1447,Ms48w,Daishiryu,0,0
1655,Ms49e,Kuroiwa,2,5
1673,Ms49w,Tokuoyama,3,4
1388,Ms50e,Tochisagami,3,4
1523,Ms50w,Tochiyutaka,2,2
1430,Ms51e,Minenofuji,4,3
1391,Ms51w,Mitsueyama,4,3
1463,Ms52e,Maemiyama,1,4
236,Ms52w,Takanosho,4,3
2088,Ms53e,Ohayama,3,4
32,Ms53w,Akinoryu,5,2
188,Ms54e,Genkainami,4,3
187,Ms54w,Nakabuchi,2,5
1502,Ms55e,Kisezakura,3,4
153,Ms55w,Nishida,4,3
159,Ms56e,Kiyota,2,5
1298,Ms56w,Kotoarashi,6,1
2191,Ms57e,Wakachikara,4,3
1557,Ms57w,Shinminato,0,0
2128,Ms58e,Kanzan,1,6
1950,Ms58w,Tatsunohana,3,4
1627,Ms59e,Kyokukoyama,2,5
1664,Ms59w,Tsubasafuji,3,4
46,Ms60e,Tsushimanada,3,4
132,Ms60w,Kotonomine,5,2
177,Ms60TD,Kurimoto,5,2
6,Ms60TD,Oso,7,0
2781,Sd1e,Yorifuji,3,4
1462,Sd1w,Musoriki,4,3
1834,Sd2e,Furuichi,4,3
121,Sd2w,Koriyama,4,3
146,Sd3e,Takaseyama,2,5
193,Sd3w,Komachikara,4,3
1435,Sd4e,Shinshi,1,6
1443,Sd4w,Nijinoumi,6,1
138,Sd5e,Sentoryu,6,1
2780,Sd5w,Daio,3,4
1615,Sd6e,Minatoiwa,3,4
192,Sd6w,Fukushinryu,2,5
278,Sd7e,Amanohana,3,4
83,Sd7w,Yamane,4,3
1398,Sd8e,Nanfu,5,2
1495,Sd8w,Mutsukonryu,5,2
1346,Sd9e,Kengaku,3,4
1511,Sd9w,Kurachi,4,3
1588,Sd10e,Aogakiyama,2,5
373,Sd10w,Setonofuji,2,5
78,Sd11e,Toyozakura,4,3
1876,Sd11w,Yoshinoshima,3,4
1624,Sd12e,Fukujuryu,4,3
1503,Sd12w,Kusunokaze,5,2
1585,Sd13e,Owa,1,6
1670,Sd13w,Dairyuyama,3,4
1420,Sd14e,Nohira,5,2
1768,Sd14w,Hinoryu,3,4
1775,Sd15e,Tamamusashi,4,3
529,Sd15w,Ushiwakamaru,5,2
1665,Sd16e,Hoshozan,3,4
178,Sd16w,Kirinowaka,7,0
1541,Sd17e,Meijokuni,2,5
212,Sd17w,Yamanaka,3,4
2033,Sd18e,Kyokuomaru,3,4
117,Sd18w,Shirata,5,2
1424,Sd19e,Daiko,3,4
283,Sd19w,Wakakudo,4,3
124,Sd20e,Sumiya,2,5
1539,Sd20w,Tamakoryu,2,5
227,Sd21e,Takanohikari,5,2
156,Sd21w,Hiryu,5,2
184,Sd22e,Shiganoumi,4,3
1452,Sd22w,Kotonobori,2,5
1482,Sd23e,Kotounryu,2,5
1668,Sd23w,Chiyohide,6,1
176,Sd24e,Narahikari,0,0
131,Sd24w,Nishikata,4,3
2127,Sd25e,Kyokushozan,0,0
1575,Sd25w,Kototoyonaga,4,3
183,Sd26e,Komanoumi,5,2
1666,Sd26w,Kikunosato,4,3
1640,Sd27e,Kitanoryu,3,4
98,Sd27w,Shimanoryu,3,4
1538,Sd28e,Kotokabuto,4,3
1431,Sd28w,Kotodaiei,1,2
2797,Sd29e,Tomonoumi,3,4
1360,Sd29w,Oishida,1,6
1837,Sd30e,Kotokenzan,2,5
1616,Sd30w,Yukinoumi,4,3
305,Sd31e,Bangakurai,1,6
1603,Sd31w,Naruarashi,3,4
1682,Sd32e,Naminishiki,0,0
189,Sd32w,Uchihori,4,3
134,Sd33e,Fukuzono,5,2
1531,Sd33w,Konuki,3,4
1572,Sd34e,Etsunishiki,2,5
27,Sd34w,Aka,4,3
1766,Sd35e,Fukuda,4,3
1357,Sd35w,Yamanishiki,6,1
387,Sd36e,Kantoryu,3,4
245,Sd36w,Inanofuji,4,3
1696,Sd37e,Ishida,4,3
84,Sd37w,Tomikaze,3,4
288,Sd38e,Tokotakara,3,4
1748,Sd38w,Kotomiura,2,5
1773,Sd39e,Matsunoumi,5,2
94,Sd39w,Kimenryu,5,2
208,Sd40e,Nagai,3,4
139,Sd40w,Kyokuryuzan,2,5
169,Sd41e,Ryukayama,5,2
1608,Sd41w,Asahimine,2,5
136,Sd42e,Dewanosato,3,4
224,Sd42w,Fujitora,4,3
1493,Sd43e,Yamanami,4,3
1643,Sd43w,Matsukawa,5,2
199,Sd44e,Kuniazuma,6,1
1759,Sd44w,Toshu,4,3
274,Sd45e,Wakanoshima,4,3
150,Sd45w,Tokiyutaka,3,4
1650,Sd46e,Fudofuji,1,6
57,Sd46w,Yamato,5,2
