id,rank,rikishi,w,l
1339,Y1e,Hokutoumi,0,0
1287,O1e,Konishiki,9,6
1301,O1w,Kirishima,0,4
23,S1e,Tochinowaka,2,9
1,S1w,Akebono,13,2
9,K1e,Akinoshima,9,6
28,K1w,Mitoizumi,7,8
12,K2eHD,Kotonishiki,9,6
4,K2wHD,Musashimaru,8,7
49,M1e,Misugisato,10,5
157,M1w,Tomoefuji,8,7
33,M2e,Terao,2,13
2,M2w,Takahanada,9,6
1307,M3e,Daishoyama,6,9
1303,M3w,Kotofuji,6,9
45,M4e,Daishoho,8,7
44,M4w,Kushimaumi,8,7
18,M5e,Takatoriki,6,9
60,M5w,Toyonoumi,8,7
1295,M6e,Kyokudozan,9,6
1310,M6w,Kirinishiki,5,2
1299,M7e,Kiraiho,9,6
3,M7w,Wakahanada,11,4
42,M8e,Mainoumi,6,9
1302,M8w,Takamisugi,8,7
1311,M9e,Kototsubaki,10,5
160,M9w,Tatsuhikari,8,7
5,M10e,Takanonami,7,8
30,M10w,Kitakachidoki,8,7
1290,M11e,Wakashoyo,5,10
1296,M11w,Kasugafuji,4,11
87,M12e,Wakanoyama,8,7
14,M12w,Kotonowaka,8,7
1309,M13e,Tamakairiki,6,9
48,M13w,Oginohana,9,6
53,M14e,Tokitsunada,8,7
1334,M14w,Wakasegawa,3,11
1326,M15e,Tsunenoyama,8,7
1332,M15w,Sakahoko,4,11
1330,M16e,Ryogoku,10,5
1315,J1e,Enazakura,9,6
51,J1w,Daizen,9,6
1294,J2e,Naminohana,6,9
1286,J2w,Kenko,9,6
1319,J3e,Tachihikari,9,6
1317,J3w,Hananokuni,9,6
55,J4e,Zenshinyama,8,7
37,J4w,Kotoinazuma,6,9
1331,J5e,Saganobori,6,9
1285,J5w,Asahisato,8,7
1292,J6e,Kotogaume,11,4
1306,J6w,Hitachiryu,6,9
1338,J7e,Ozutsu,4,11
15,J7w,Oginishiki,6,9
1329,J8e,Daigaku,10,5
7,J8w,Kaio,0,0
1337,J9e,Tochitsukasa,4,9
82,J9w,Tochitenko,6,9
1335,J10e,Takanofuji,4,11
1324,J10w,Daikiko,4,11
77,J11e,Yutakafuji,8,7
1323,J11w,Kumao,9,6
1305,J12e,Kyokugozan,9,6
11,J12w,Aogiyama,10,5
133,J13e,Genkai,5,10
1288,J13w,Kotobeppu,0,0
67,Ms1e,Tochinofuji,4,3
1333,Ms1w,Sasshunada,5,2
16,Ms2e,Minatofuji,6,1
1314,Ms2w,Owakamatsu,0,1
1325,Ms3e,Wakatosho,4,3
1327,Ms3w,Yoshinobori,5,2
1340,Ms4e,Taishin,3,4
24,Ms4w,Ganyu,0,0
73,Ms5e,Gassan,4,3
1341,Ms5w,Seifuriki,0,5
1322,Ms6e,Hidenoumi,4,3
1391,Ms6w,Mitsueyama,3,5
120,Ms7e,Dodoyama,4,3
91,Ms7w,Hoshiandesu,4,3
1492,Ms8e,Kusunosato,2,5
76,Ms8w,Hoshitango,5,2
1392,Ms9e,Akinokuni,5,2
1336,Ms9w,Nakajima,3,4
22,Ms10e,Wakatenryu,2,5
1435,Ms10w,Rikitoshi,3,4
1313,Ms11e,Komafudo,4,3
174,Ms11w,Mutsuhokkai,3,4
1297,Ms12e,Dairyu,3,4
372,Ms12w,Chokairyu,5,2
26,Ms13e,Sakamotoyama,7,0
2047,Ms13w,Ozora,1,6
1289,Ms14e,Rikio,4,3
1390,Ms14w,Kondo,3,4
241,Ms15e,Tatsutanaka,4,3
1346,Ms15w,Kengaku,2,5
209,Ms16e,Ota,5,2
1393,Ms16w,Daishoryu,5,2
1328,Ms17e,Yamanakayama,5,2
1546,Ms17w,Kishinosato,3,4
145,Ms18e,Mineyama,4,3
1394,Ms18w,Wakadozan,6,1
20,Ms19e,Yoshitane,2,5
1516,Ms19w,Aratakayama,3,4
74,Ms20e,Kotononada,4,3
1557,Ms20w,Shinminato,4,3
1467,Ms21e,Komahiryu,2,5
1298,Ms21w,Kotoarashi,2,5
32,Ms22e,Akinoryu,3,4
1500,Ms22w,Hokutoasahi,3,4
