id,rank,rikishi,w,l
878,Y1e,Asashoryu,14,1
1123,Y1w,Hakuho,11,4
7,O1e,Kaio,8,5
8,O1w,Chiyotaikai,9,6
2830,O2e,Kotooshu,9,6
876,S1e,Kotomitsuki,13,2
1111,S1w,Ama,7,8
2818,K1e,Tokitenku,7,8
89,K1w,Aminishiki,8,7
1226,M1e,Kotoshogiku,5,10
1009,M1w,Asasekiryu,8,7
31,M2e,Dejima,5,10
39,M2w,Wakanosato,5,10
1284,M3e,Takekaze,4,11
1421,M3w,Roho,3,1
875,M4e,Takamisakari,3,12
1227,M4w,Toyonoshima,7,8
842,M5e,Miyabiyama,7,8
152,M5w,Tamanoshima,6,9
6018,M6e,Homasho,9,6
1235,M6w,Kisenosato,11,4
6473,M7e,Tochiozan,4,6
2834,M7w,Futeno,5,10
1219,M8e,Kakuryu,9,6
1031,M8w,Ryuo,5,10
10,M9e,Tochinonada,10,5
1187,M9w,Kokkai,6,9
865,M10e,Kasugao,7,8
135,M10w,Hokutoriki,10,5
50,M11e,Tokitsuumi,8,7
70,M11w,Kitazakura,6,9
1402,M12e,Hakurozan,6,9
5985,M12w,Satoyama,2,13
5967,M13e,Yoshikaze,6,9
13,M13w,Tosanoumi,8,7
6432,M14e,Baruto,0,2
6467,M14w,Toyohibiki,11,4
40,M15e,Kaiho,10,5
17,M15w,Tamakasuga,8,7
1204,M16e,Kakizoe,6,9
1032,M16w,Hochiyama,6,9
63,M17e,Otsukasa,6,9
1087,J1e,Iwakiyama,12,3
99,J1w,Shunketsu,5,10
175,J2e,Ushiomaru,6,9
97,J2w,Tochinohana,6,9
107,J3e,Kasuganishiki,8,7
41,J3w,Kyokutenho,12,3
6527,J4e,Wakanoho,8,7
5984,J4w,Shirononami,6,9
1018,J5e,Shimootori,5,10
6468,J5w,Goeido,12,3
122,J6e,Daimanazuru,6,9
2847,J6w,Masatsukasa,7,8
88,J7e,Tamarikido,5,7
113,J7w,Asofuji,4,11
78,J8e,Toyozakura,8,7
1011,J8w,Hakuba,8,7
96,J9e,Jumonji,5,10
924,J9w,Wakakirin,10,5
1136,J10e,Mokonami,8,7
6620,J10w,Sakaizawa,7,6
371,J11e,Kyokunankai,7,8
204,J11w,Ryuho,6,9
1106,J12e,Koryu,9,6
1243,J12w,Katayama,7,8
813,J13e,Kitataiki,8,7
1104,J13w,Hoshihikari,8,7
5977,J14e,Takamifuji,0,0
898,J14w,Chiyohakuho,9,6
206,Ms1e,Kotokasuga,6,1
6766,Ms1w,Ichihara,4,3
145,Ms2e,Kobo,4,3
864,Ms2w,Bushuyama,2,5
72,Ms3e,Tochisakae,4,3
71,Ms3w,Takanowaka,4,3
929,Ms4e,Kirinowaka,3,4
296,Ms4w,Yoshiazuma,4,3
795,Ms5e,Tamaasuka,3,4
6010,Ms5w,Kimurayama,4,3
300,Ms6e,Dairaido,2,5
2858,Ms6w,Kagaya,3,4
6497,Ms7e,Nakanishi,3,4
56,Ms7w,Yanagawa,3,4
226,Ms8e,Wakatenro,4,3
1170,Ms8w,Daitensho,3,4
6614,Ms9e,Matsutani,3,4
1141,Ms9w,Shotenro,4,3
6552,Ms10e,Sotairyu,2,5
1127,Ms10w,Hokutokuni,5,2
4980,Ms11e,Sokokurai,5,2
1134,Ms11w,Takekabuto,5,2
105,Ms12e,Buyuzan,2,5
2930,Ms12w,Tokusegawa,5,2
2835,Ms13e,Shironoryu,2,5
69,Ms13w,Towanoyama,4,3
1152,Ms14e,Daiyubu,3,4
126,Ms14w,Tochinoyama,1,4
6643,Ms15e,Shimoda,4,3
179,Ms15w,Tenichi,3,4
334,Ms16e,Hokutojo,3,4
2842,Ms16w,Sadanofuji,3,4
489,Ms17e,Chokozan,0,7
5988,Ms17w,Kanbayashi,4,3
216,Ms18e,Raiko,2,5
6599,Ms18w,Tochinoshin,6,1
6034,Ms19e,Isobe,7,0
900,Ms19w,Yakigaya,4,3
785,Ms20e,Furuichi,2,5
6577,Ms20w,Takunishiki,4,3
7138,Ms21e,Mori,5,2
252,Ms21w,Rikiryu,4,3
168,Ms22e,Hokutoiwa,3,4
2832,Ms22w,Arawashi,0,0
789,Ms23e,Takakoyama,5,2
5944,Ms23w,Tamawashi,3,4
94,Ms24e,Kimenryu,4,3
128,Ms24w,Nishikikaze,1,6
511,Ms25e,Yotsuguruma,4,3
6012,Ms25w,Dewaotori,4,3
2820,Ms26e,Nakanokuni,4,3
147,Ms26w,Tokifutatsu,2,5
6436,Ms27e,Nakano,5,2
784,Ms27w,Daishoyama,5,2
335,Ms28e,Shoketsu,1,6
6491,Ms28w,Ikioi,3,4
1054,Ms29e,Mochimaru,3,4
222,Ms29w,Sumanofuji,0,0
6538,Ms30e,Fukunaga,3,4
1215,Ms30w,Takanoyama,2,5
1225,Ms31e,Asahimaru,6,1
2831,Ms31w,Hoshikaze,5,2
6579,Ms32e,Daishoyu,5,2
6463,Ms32w,Fukuoka,2,5
1190,Ms33e,Kaonishiki,4,3
1115,Ms33w,Daionami,3,4
2850,Ms34e,Hikarikaze,3,4
172,Ms34w,Kirinoumi,4,3
380,Ms35e,Kakuo,4,3
6593,Ms35w,Tokitairyu,4,3
860,Ms36e,Kirinishiki,2,5
879,Ms36w,Tooyama,1,6
5936,Ms37e,Kazafuzan,4,3
576,Ms37w,Kaishoryu,3,4
244,Ms38e,Ryugi,6,1
2851,Ms38w,Shibuya,4,3
6572,Ms39e,Gagamaru,3,4
1137,Ms39w,Sensho,5,2
5962,Ms40e,Tokio,1,6
276,Ms40w,Satsumanishiki,3,4
1109,Ms41e,Daishoma,4,3
645,Ms41w,Kiozan,2,5
6464,Ms42e,Yonemura,1,6
1053,Ms42w,Kasugakuni,3,4
982,Ms43e,Sotenzan,5,2
787,Ms43w,Keno,4,3
2849,Ms44e,Wakaryusei,2,5
866,Ms44w,Surugatsukasa,4,3
246,Ms45e,Kyokutenzan,4,3
649,Ms45w,Wakasuruga,3,4
287,Ms46e,Wakatoba,3,4
167,Ms46w,Tamamitsukuni,5,2
310,Ms47e,Akinomine,3,4
1251,Ms47w,Sasaki,2,5
1266,Ms48e,Nionoumi,6,1
2928,Ms48w,Fujimoto,3,4
1130,Ms49e,Omiryu,5,2
264,Ms49w,Shishio,5,2
365,Ms50e,Kotokuni,4,3
1062,Ms50w,Kakureizan,5,2
132,Ms51e,Kotonomine,3,4
360,Ms51w,Aogifuji,3,4
294,Ms52e,Tachigami,4,3
6011,Ms52w,Asahisakari,2,5
863,Ms53e,Tatsuyutaka,4,3
125,Ms53w,Munakata,2,5
1058,Ms54e,Saita,1,6
1038,Ms54w,Tachikaze,3,4
1015,Ms55e,Fudoyama,4,3
506,Ms55w,Tokiryu,4,3
550,Ms56e,Yamasaki,6,1
1026,Ms56w,Kamakura,2,5
6483,Ms57e,Maeta,4,3
6469,Ms57w,Hidenofuji,3,4
670,Ms58e,Toyohikari,3,4
453,Ms58w,Terukaze,3,4
487,Ms59e,Danyu,2,5
1132,Ms59w,Minaminoshima,6,1
339,Ms60e,Hayasegawa,5,2
628,Ms60w,Hokutogo,2,5
202,Sd1e,Teruazuma,2,5
625,Sd1w,Wakakasuga,5,2
802,Sd2e,Jukan,3,4
136,Sd2w,Dewanosato,4,3
662,Sd3e,Kotoyutaka,5,2
6430,Sd3w,Takaazuma,4,3
194,Sd4e,Kokei,3,4
6622,Sd4w,Kitazono,4,3
901,Sd5e,Hananosato,4,3
880,Sd5w,Satsukiumi,6,1
444,Sd6e,Sadanoshima,3,4
1117,Sd6w,Yuminosato,2,5
481,Sd7e,Enatsukasa,3,4
6616,Sd7w,Mori,0,1
1029,Sd8e,Mizakura,4,3
6440,Sd8w,Sugita,5,2
782,Sd9e,Tetsuhikari,1,6
1006,Sd9w,Sadanishiki,4,3
533,Sd10e,Wakakengo,5,2
2929,Sd10w,Kagamio,3,4
243,Sd11e,Akinohana,3,4
1097,Sd11w,Daiki,4,3
1160,Sd12e,Wakamifuji,3,4
1405,Sd12w,Amuru,4,2
173,Sd13e,Ryukai,2,5
1010,Sd13w,Asanotosa,5,2
214,Sd14e,Toshinyama,5,2
688,Sd14w,Sotairan,4,3
6475,Sd15e,Masutoo,4,3
598,Sd15w,Shinyu,2,5
4981,Sd16e,Hamaeiko,3,4
47,Sd16w,Chiyotenzan,5,2
940,Sd17e,Kotomisen,4,3
6595,Sd17w,Takedani,3,4
6033,Sd18e,Shunba,3,4
6753,Sd18w,Kaisei,2,5
6571,Sd19e,Masuhikari,4,3
779,Sd19w,Chiyonohana,1,4
1231,Sd20e,Yoshinokuni,2,5
430,Sd20w,Tamao,6,1
