id,rank,rikishi,w,l
4,Y1e,Musashimaru,13,2
2,Y1w,Takanohana,0,0
7,O1e,Kaio,11,4
19,O1w,Tochiazuma,10,5
6,O2e,Musoyama,9,5
8,O2w,Chiyotaikai,11,4
878,S1e,Asashoryu,11,4
876,S1w,Kotomitsuki,0,0
39,K1e,Wakanosato,8,7
10,K1w,Tochinonada,7,8
89,M1e,Aminishiki,5,10
38,M1w,Toki,4,11
5,M2e,Takanonami,4,11
13,M2w,Tosanoumi,8,7
842,M3e,Miyabiyama,10,5
71,M3w,Takanowaka,7,8
51,M4e,Daizen,4,11
41,M4w,Kyokutenho,6,9
9,M5e,Akinoshima,3,12
17,M5w,Tamakasuga,7,8
14,M6e,Kotonowaka,9,6
875,M6w,Takamisakari,8,7
63,M7e,Otsukasa,7,8
87,M7w,Wakanoyama,6,9
29,M8e,Kotoryu,8,7
40,M8w,Kaiho,8,7
31,M9e,Dejima,9,6
96,M9w,Jumonji,6,9
35,M10e,Kyokushuzan,10,5
47,M10w,Chiyotenzan,5,10
50,M11e,Tokitsuumi,0,0
152,M11w,Tamanoshima,5,10
874,M12e,Hamanishiki,6,9
105,M12w,Buyuzan,6,9
58,M13e,Oikari,6,9
97,M13w,Tochinohana,6,9
135,M14e,Hokutoriki,11,4
1018,M14w,Shimotori,10,5
72,M15e,Tochisakae,8,7
34,M15w,Asanowaka,6,9
26,J1e,Higonoumi,4,4
18,J1w,Takatoriki,4,11
129,J2e,Hayateumi,9,6
33,J2w,Terao,2,3
11,J3e,Aogiyama,10,5
81,J3w,Wakakosho,6,9
15,J4e,Oginishiki,5,10
92,J4w,Harunoyama,5,6
88,J5e,Tamarikido,8,5
70,J5w,Kitazakura,9,6
107,J6e,Kasuganishiki,9,6
145,J6w,Kobo,7,8
163,J7e,Senshuyama,10,5
149,J7w,Juzan,6,9
22,J8e,Gojoro,11,4
175,J8w,Ushiomaru,0,0
1087,J9e,Iwakiyama,11,4
69,J9w,Towanoyama,5,10
168,J10e,Hokutoiwa,6,9
225,J10w,Takanotsuru,9,6
16,J11e,Minatofuji,6,9
784,J11w,Daishodai,8,7
287,J12e,Wakatoba,2,13
99,J12w,Komahikari,10,5
222,J13e,Sumanofuji,6,9
132,J13w,Kotonomine,6,9
138,Ms1e,Sentoryu,0,0
1009,Ms1w,Asasekiryu,5,2
78,Ms2e,Toyozakura,7,0
84,Ms2w,Tomikaze,3,4
226,Ms3e,Wakatenro,3,4
74,Ms3w,Kotokanyu,4,3
68,Ms4e,Gokenzan,3,4
865,Ms4w,Kasugao,6,1
126,Ms5e,Tochinoyama,2,6
104,Ms5w,Wakaazuma,3,4
205,Ms6e,Goto,0,0
147,Ms6w,Toyonokuni,4,3
1225,Ms7e,Asamiyoshi,2,5
134,Ms7w,Fukuzono,3,4
199,Ms8e,Kuniazuma,0,0
1204,Ms8w,Kakizoe,1,1
82,Ms9e,Tochitenko,4,3
268,Ms9w,Takahijiri,1,6
25,Ms10e,Hamanoshima,5,2
90,Ms10w,Fukkoyama,3,4
180,Ms11e,Wakainami,3,4
43,Ms11w,Kinkaiyama,5,2
64,Ms12e,Yotsukasa,4,3
130,Ms12w,Tanaka,4,3
56,Ms13e,Masutsuyoshi,5,2
128,Ms13w,Nishikikaze,3,4
122,Ms14e,Daimanazuru,2,5
79,Ms14w,Kotoiwakuni,4,3
380,Ms15e,Kakuo,1,6
1111,Ms15w,Ama,2,5
1284,Ms15TD,Narita,6,1
296,Ms16e,Yoshiazuma,5,2
269,Ms16w,Hokutoarashi,0,4
