id,rank,rikishi,w,l
1219,Y1e,Kakuryu,5,6
1111,Y1w,Harumafuji,4,3
1123,Y2e,Hakuho,11,4
1235,O1e,Kisenosato,14,1
6468,O1w,Goeido,8,5
11927,O2e,Terunofuji,4,11
1226,O2w,Kotoshogiku,5,10
5944,S1e,Tamawashi,9,6
12130,S1w,Shodai,7,8
6480,K1e,Takayasu,11,4
6599,K1w,Tochinoshin,0,6
11728,M1e,Takarafuji,6,9
12210,M1w,Mitakeumi,11,4
6614,M2e,Shohozan,7,8
2832,M2w,Arawashi,6,9
6463,M3e,Okinoumi,4,11
6491,M3w,Ikioi,8,7
6473,M4e,Tochiozan,3,12
12055,M4w,Endo,7,8
1284,M5e,Takekaze,10,5
5967,M5w,Yoshikaze,8,7
11785,M6e,Chiyoshoma,7,8
9079,M6w,Kotoyuki,6,9
11784,M7e,Myogiryu,4,11
11786,M7w,Aoiyama,8,7
12239,M8e,Hokutofuji,9,6
6642,M8w,Chiyonokuni,9,6
6753,M9e,Kaisei,8,7
12051,M9w,Ishiura,6,9
11724,M10e,Takanoiwa,11,4
4980,M10w,Sokokurai,12,3
11845,M11e,Kagayaki,8,7
6596,M11w,Nishikigi,5,10
12191,M12e,Takakeisho,7,8
12144,M12w,Daishomaru,7,8
6572,M13e,Gagamaru,5,10
12107,M13w,Ichinojo,11,4
6928,M14e,Chiyootori,6,9
11934,M14w,Chiyotairyu,6,9
11840,M15e,Chiyoo,7,8
2879,M15w,Sadanoumi,8,7
11987,M16e,Osunaarashi,4,11
6467,J1e,Toyohibiki,6,9
12026,J1w,Hidenoumi,7,8
7239,J2e,Kyokushuho,8,7
11985,J2w,Daieisho,12,3
12226,J3e,Ura,11,4
7240,J3w,Chiyomaru,7,8
6559,J4e,Seiro,4,11
11723,J4w,Azumaryu,5,10
813,J5e,Kitataiki,4,11
12043,J5w,Onosho,9,6
12292,J6e,Oyanagi,8,7
7153,J6w,Kotoeko,8,7
8899,J7e,Kyokutaisei,8,7
89,J7w,Aminishiki,5,10
11726,J8e,Tokushoryu,11,4
12113,J8w,Tsurugisho,8,7
11989,J9e,Yamaguchi,9,6
7143,J9w,Amakaze,9,6
1405,J10e,Amuru,5,10
6594,J10w,Ryuden,9,6
8904,J11e,Homarefuji,10,5
5985,J11w,Satoyama,8,7
6531,J12e,Asahisho,7,8
11947,J12w,Rikishin,7,8
11868,J13e,Terutsuyoshi,7,8
12273,J13w,Daiamami,10,5
1058,J14e,Wakanoshima,4,9
9077,J14w,Kizenryu,5,10
1241,Ms1e,Kitaharima,5,2
1009,Ms1w,Asasekiryu,2,5
7127,Ms2e,Asabenkei,3,4
6506,Ms2w,Kairyu,3,4
2851,Ms3e,Fujiazuma,5,2
11965,Ms3w,Tochimaru,3,4
12040,Ms4e,Daishoho,3,4
12077,Ms4w,Takagenji,5,2
12141,Ms5e,Shiba,3,4
6437,Ms5w,Mugendai,2,5
11946,Ms6e,Meisei,4,3
1227,Ms6w,Toyonoshima,6,1
1141,Ms7e,Shotenro,1,6
12291,Ms7w,Ishibashi,7,0
11980,Ms8e,Goshi,4,3
11918,Ms8w,Akua,4,3
2842,Ms9e,Sadanofuji,1,6
8900,Ms9w,Akiseyama,5,2
12203,Ms10e,Iwasaki,6,1
12285,Ms10w,Tamaki,3,4
8905,Ms11e,Daiseiho,2,5
11972,Ms11w,Daiseido,3,4
7111,Ms12e,Irodori,3,4
6770,Ms12w,Tenkaiho,2,5
12024,Ms13e,Shimanoumi,4,3
6600,Ms13w,Tochihiryu,4,3
11943,Ms14e,Hakuyozan,4,3
6538,Ms14w,Shosei,2,5
11855,Ms15e,Masunosho,5,2
11971,Ms15w,Jokoryu,3,4
2909,Ms16e,Sakigake,4,3
6607,Ms16w,Gochozan,3,4
6013,Ms17e,Dewahayate,5,2
2929,Ms17w,Kagamio,2,5
11755,Ms18e,Tsurubayashi,4,3
11950,Ms18w,Irie,4,3
11743,Ms19e,Asakoki,1,6
11826,Ms19w,Goryu,3,4
12231,Ms20e,Kiribayama,5,2
7119,Ms20w,Tochinohama,3,4
12320,Ms21e,Kizaki,5,2
11821,Ms21w,Ryuonami,1,6
12029,Ms22e,Kaito,3,4
1266,Ms22w,Nionoumi,3,4
5988,Ms23e,Oiwato,2,5
7121,Ms23w,Tokushinho,4,3
12094,Ms24e,Abi,5,2
12282,Ms24w,Ichiki,5,2
6472,Ms25e,Terao,2,5
2892,Ms25w,Ryusei,4,3
11741,Ms26e,Tochinobori,4,3
6639,Ms26w,Kotokobai,4,3
6552,Ms27e,Sotairyu,2,5
2882,Ms27w,Nankairiki,3,4
9097,Ms28e,Kansei,3,4
11809,Ms28w,Kotokuzan,2,5
12117,Ms29e,Kotaro,4,3
11764,Ms29w,Horyuyama,3,4
9110,Ms30e,Aokishin,1,6
12076,Ms30w,Takayoshitoshi,6,1
8154,Ms31e,Higonojo,4,3
9067,Ms31w,Akinokawa,3,4
7109,Ms32e,Chiyoarashi,5,2
6458,Ms32w,Yamatofuji,5,2
6512,Ms33e,Hishofuji,0,1
6012,Ms33w,Dewaotori,3,4
11949,Ms34e,Kotodaigo,5,2
6585,Ms34w,Rendaiyama,3,4
6646,Ms35e,Higoarashi,2,5
11730,Ms35w,Nogami,4,3
11822,Ms36e,Sasakiyama,4,3
11736,Ms36w,Chiyosakae,4,3
7177,Ms37e,Ayanoumi,4,3
6565,Ms37w,Daishoryu,2,5
9119,Ms38e,Azumasato,2,5
11978,Ms38w,Rikito,4,3
2836,Ms39e,Katsunofuji,2,5
12140,Ms39w,Takaryu,6,1
6514,Ms40e,Byakko,3,4
6485,Ms40w,Yuki,3,4
6595,Ms41e,Okinofuji,5,2
12068,Ms41w,Koba,5,2
6588,Ms42e,Komanokuni,3,4
6487,Ms42w,Takamisato,3,4
11923,Ms43e,Rao,3,4
6647,Ms43w,Oazuma,3,4
6464,Ms44e,Suzaku,2,5
550,Ms44w,Musashiumi,2,5
940,Ms45e,Kotomisen,5,2
6475,Ms45w,Masutoo,4,3
8903,Ms46e,Keitenkai,5,2
11976,Ms46w,Takakasuga,4,3
6034,Ms47e,Sagatsukasa,6,1
296,Ms47w,Yoshiazuma,2,5
9066,Ms48e,Akinoyama,4,3
12162,Ms48w,Shonannoumi,4,3
12105,Ms49e,Oki,4,3
6570,Ms49w,Fukugoriki,4,3
12270,Ms50e,Kotokamatani,3,4
12321,Ms50w,Hatooka,5,2
12309,Ms51e,Asahiryu,6,1
497,Ms51w,Koshinoryu,3,4
12114,Ms52e,Takakento,3,4
11767,Ms52w,Aonosho,5,2
7146,Ms53e,Okoryu,3,4
986,Ms53w,Ozora,1,6
6612,Ms54e,Aozora,4,3
335,Ms54w,Shoketsu,1,6
12083,Ms55e,Hokutokawa,5,2
11996,Ms55w,Hokutoshu,2,5
2904,Ms56e,Kaorufuji,5,2
11862,Ms56w,Fukamiyama,4,3
12064,Ms57e,Chiyonokatsu,2,5
9061,Ms57w,Aoi,3,4
