id,rank,rikishi,w,l
1,Y1e,Akebono,2,2
4,Y1w,Musashimaru,12,3
2,Y2e,Takanohana,0,3
3,Y2w,Wakanohana,7,8
8,O1e,Chiyotaikai,10,5
5,O1w,Takanonami,3,4
31,O2e,Dejima,10,5
7,S1e,Kaio,9,6
13,S1w,Tosanoumi,7,8
12,K1e,Kotonishiki,5,10
6,K1w,Musoyama,8,7
19,M1e,Tochiazuma,10,5
17,M1w,Tamakasuga,8,7
35,M2e,Kyokushuzan,7,8
36,M2w,Asanosho,7,8
38,M3e,Toki,6,9
9,M3w,Akinoshima,11,4
20,M4e,Shikishima,3,12
14,M4w,Kotonowaka,7,8
842,M5e,Miyabiyama,10,5
16,M5w,Minatofuji,6,9
47,M6e,Chiyotenzan,6,9
39,M6w,Wakanosato,6,9
18,M7e,Takatoriki,9,6
33,M7w,Terao,8,7
10,M8e,Tochinonada,5,10
11,M8w,Aogiyama,8,7
40,M9e,Kaiho,7,8
24,M9w,Ganyu,5,10
50,M10e,Tokitsuumi,7,8
29,M10w,Kotoryu,8,7
87,M11e,Wakanoyama,9,6
26,M11w,Higonoumi,8,7
41,M12e,Kyokutenho,8,7
25,M12w,Hamanoshima,8,7
43,M13e,Kinkaiyama,6,9
64,M13w,Yotsukasa,0,3
63,M14e,Otsukasa,8,7
34,M14w,Asanowaka,9,6
54,M15e,Ohinode,8,7
51,J1e,Daizen,9,6
30,J1w,Kitakachidoki,7,8
22,J2e,Gojoro,4,4
59,J2w,Susanoumi,7,8
27,J3e,Wakanojo,6,9
52,J3w,Tomonohana,6,9
28,J4e,Mitoizumi,6,9
58,J4w,Oikari,9,6
71,J5e,Takanowaka,11,4
42,J5w,Mainoumi,5,10
145,J6e,Kobo,6,9
46,J6w,Dewaarashi,8,7
15,J7e,Oginishiki,8,7
62,J7w,Daishi,7,8
69,J8e,Towanoyama,6,9
129,J8w,Hayateumi,12,3
65,J9e,Dewataira,9,6
32,J9w,Akinoshu,10,5
76,J10e,Hoshitango,8,7
138,J10w,Sentoryu,6,9
66,J11e,Wakahayato,2,13
97,J11w,Tochinohana,8,7
79,J12e,Kotoiwakuni,4,11
88,J12w,Tamarikido,7,8
70,J13e,Kitazakura,8,7
152,J13w,Tamanonada,10,5
149,Ms1e,Juzan,2,5
876,Ms1w,Kototamiya,5,2
81,Ms2e,Wakakosho,4,3
89,Ms2w,Aminishiki,4,3
116,Ms3e,Wakatsutomu,3,4
875,Ms3w,Kato,4,3
96,Ms4e,Jumonji,6,1
53,Ms4w,Tokitsunada,0,0
105,Ms5e,Buyuzan,4,3
106,Ms5w,Torafusuyama,3,4
175,Ms6e,Ushiomaru,2,5
104,Ms6w,Wakaazuma,2,5
78,Ms7e,Toyozakura,6,1
99,Ms7w,Komahikari,3,4
874,Ms8e,Takahama,3,4
167,Ms8w,Tamanokuni,3,4
102,Ms9e,Asahibenten,1,6
86,Ms9w,Futatsukuba,6,1
109,Ms10e,Arauma,4,3
94,Ms10w,Kimenryu,5,2
92,Ms11e,Haruyama,4,3
107,Ms11w,Kasuganishiki,1,2
56,Ms12e,Masutsuyoshi,0,5
61,Ms12w,Hokutohikari,3,4
103,Ms13e,Tochifudo,2,5
84,Ms13w,Tomikaze,5,2
135,Ms14e,Hokutoriki,4,3
147,Ms14w,Minami,3,4
67,Ms15e,Tochinofuji,4,3
120,Ms15w,Aranonami,4,3
73,Ms16e,Kanechika,4,3
150,Ms16w,Tokiyutaka,1,6
75,Ms17e,Ogura,3,4
74,Ms17w,Kotokanyu,3,4
130,Ms18e,Tanaka,4,3
118,Ms18w,Midorifuji,5,2
77,Ms19e,Yutakafuji,3,4
168,Ms19w,Hokutoiwa,5,2
113,Ms20e,Asofuji,2,5
131,Ms20w,Karatsunada,4,3
134,Ms21e,Fukuzono,4,3
315,Ms21w,Nadatsukasa,3,4
100,Ms22e,Shinmei,3,4
205,Ms22w,Goto,6,1
218,Ms23e,Wakakinryu,5,2
180,Ms23w,Wakainami,2,5
122,Ms24e,Futasewaka,2,5
198,Ms24w,Tsurusaki,2,5
132,Ms25e,Kotonomine,5,2
133,Ms25w,Genkai,4,3
864,Ms26e,Yamauchi,3,4
199,Ms26w,Kuniazuma,4,3
80,Ms27e,Otoryu,3,4
163,Ms27w,Senshuyama,5,2
226,Ms28e,Wakatenro,4,3
124,Ms28w,Saigo,6,1
784,Ms29e,Nishino,3,4
151,Ms29w,Fukunoryu,3,4
296,Ms30e,Yoshiazuma,4,3
268,Ms30w,Ueda,2,5
225,Ms31e,Sekiyama,2,3
204,Ms31w,Ryuho,3,4
153,Ms32e,Takinooto,3,4
173,Ms32w,Takanagai,5,2
108,Ms33e,Ominato,1,6
119,Ms33w,Takamihana,5,2
202,Ms34e,Teruazuma,4,3
139,Ms34w,Asahiumi,3,4
143,Ms35e,Daiden,4,3
101,Ms35w,Kionoyama,1,6
222,Ms36e,Sumanofuji,0,0
95,Ms36w,Wakanomiya,4,3
243,Ms37e,Akinohana,3,4
380,Ms37w,Hisatsuryu,5,2
126,Ms38e,Tochinoyama,3,4
261,Ms38w,Isshin,2,5
256,Ms39e,Kotohino,4,3
283,Ms39w,Wakatenyu,2,5
158,Ms40e,Natsubori,5,2
216,Ms40w,Raiko,5,2
176,Ms41e,Narahikari,2,5
785,Ms41w,Furuichi,6,1
82,Ms42e,Tochitenko,4,3
114,Ms42w,Yanagi,2,5
68,Ms43e,Gokenzan,2,5
232,Ms43w,Nanbara,4,3
174,Ms44e,Mutsuhokkai,3,4
55,Ms44w,Zenshinyama,0,0
91,Ms45e,Hoshiandesu,3,4
115,Ms45w,Kabutonishiki,4,3
171,Ms46e,Tsuchihashi,4,3
179,Ms46w,Tenichi,4,3
194,Ms47e,Hidanodake,4,3
779,Ms47w,Chiyonohana,2,5
285,Ms48e,Chiyotenma,1,6
306,Ms48w,Wakayuki,3,4
136,Ms49e,Dewanosato,3,4
146,Ms49w,Fukuseyama,4,3
251,Ms50e,Nodera,5,2
287,Ms50w,Yamada,3,4
200,Ms51e,Tatsukabuto,3,4
321,Ms51w,Haguronada,0,0
83,Ms52e,Arashi,3,4
90,Ms52w,Fukkoryu,3,4
878,Ms53e,Asashoryu,6,1
356,Ms53w,Motohashi,2,5
212,Ms54e,Chiyononada,5,2
159,Ms54w,Kiyonoumi,4,3
110,Ms55e,Wakakaze,5,2
254,Ms55w,Konoryu,1,6
242,Ms56e,Seigoryu,2,5
273,Ms56w,Tochimusashi,3,4
214,Ms57e,Toshinyama,5,2
121,Ms57w,Masunobori,4,3
140,Ms58e,Ohidake,1,6
278,Ms58w,Matsunotani,4,3
307,Ms59e,Tsurunomori,4,3
142,Ms59w,Tsujimoto,4,3
787,Ms60e,Kumai,2,5
230,Ms60w,Kiyoazuma,3,4
72,Sd1e,Tochisakae,7,0
244,Sd1w,Kaishozan,4,3
156,Sd2e,Daihiryu,3,4
217,Sd2w,Takanoumi,5,2
236,Sd3e,Takanosho,3,4
239,Sd3w,Maikaze,4,3
211,Sd4e,Tsukasaryu,2,5
185,Sd4w,Yoshio,5,2
250,Sd5e,Shindo,5,2
207,Sd5w,Kotokusuwaka,2,5
240,Sd6e,Wakatenma,3,4
335,Sd6w,Komanofuji,4,3
184,Sd7e,Shiganoumi,3,4
246,Sd7w,Kyokutenzan,4,3
371,Sd8e,Kyokunankai,5,2
252,Sd8w,Rikiryuyama,2,5
258,Sd9e,Hiyoriyama,1,6
161,Sd9w,Kotohikari,5,2
190,Sd10e,Wakasagara,4,3
312,Sd10w,Hokutomine,6,1
181,Sd11e,Mizuyutaka,2,5
319,Sd11w,Wakashinobu,5,2
255,Sd12e,Azumaumi,2,5
292,Sd12w,Raizan,0,0
247,Sd13e,Moriyasu,3,4
865,Sd13w,Kasugao,3,4
111,Sd14e,Tanimura,5,2
154,Sd14w,Toshinriki,4,3
227,Sd15e,Takanohikari,1,6
237,Sd15w,Fujinokaze,4,3
259,Sd16e,Asakiumi,5,2
276,Sd16w,Wakasatsuma,3,4
392,Sd17e,Koshiba,0,7
381,Sd17w,Ishikawa,0,0
137,Sd18e,Higotsukasa,0,0
289,Sd18w,Kaigo,3,4
220,Sd19e,Tagaarashi,3,4
843,Sd19w,Murata,4,3
117,Sd20e,Matenro,0,0
187,Sd20w,Nakabuchi,4,3
270,Sd21e,Koshinoyama,2,5
206,Sd21w,Kotokasuga,6,1
304,Sd22e,Kaiten,3,4
322,Sd22w,Ikki,0,0
342,Sd23e,Masuhisashi,3,4
311,Sd23w,Naminooto,4,3
264,Sd24e,Hokutowaka,5,2
339,Sd24w,Hayasegawa,2,5
317,Sd25e,Kaido,4,3
249,Sd25w,Kotomiyake,0,0
353,Sd26e,Fujitsukasa,3,4
300,Sd26w,Raido,4,3
308,Sd27e,Asahayate,4,3
331,Sd27w,Onoshio,3,4
164,Sd28e,Dewasakai,5,2
299,Sd28w,Shotenzan,3,4
112,Sd29e,Gokokuyama,4,3
291,Sd29w,Tochiarashi,3,4
162,Sd30e,Tamanotosa,6,1
431,Sd30w,Higonoshima,2,5
85,Sd31e,Daikiyama,3,4
313,Sd31w,Azumayama,5,2
148,Sd32e,Aoba,6,1
238,Sd32w,Umenosato,0,5
183,Sd33e,Kaisei,4,3
125,Sd33w,Munakata,0,0
274,Sd34e,Wakanoshima,6,1
504,Sd34w,Kainowaka,4,3
370,Sd35e,Ryuseiyama,4,3
658,Sd35w,Sanukiyama,2,5
540,Sd36e,Shikinoumi,2,5
165,Sd36w,Kawaguchi,1,6
458,Sd37e,Azumao,5,2
302,Sd37w,Tochio,4,3
128,Sd38e,Nishikikaze,4,3
123,Sd38w,Chiyonosho,2,5
229,Sd39e,Tokugozan,3,4
297,Sd39w,Tsurunosato,3,4
294,Sd40e,Masutaka,3,4
879,Sd40w,Tashiro,5,2
407,Sd41e,Futasegawa,3,4
486,Sd41w,Kainoyama,1,6
338,Sd42e,Wakabusho,4,3
248,Sd42w,Masunosato,2,5
310,Sd43e,Akiyama,4,3
332,Sd43w,Arashinobu,2,5
456,Sd44e,Omusashi,4,3
368,Sd44w,Kamisawa,5,2
93,Sd45e,Tamanohana,5,2
375,Sd45w,Tenju,3,4
357,Sd46e,Katsuranami,0,0
186,Sd46w,Higashinogai,4,3
391,Sd47e,Onowaka,2,5
314,Sd47w,Daihoyama,3,4
365,Sd48e,Kotosakuta,5,2
450,Sd48w,Adachifuji,4,3
323,Sd49e,Kiyoseryu,3,4
282,Sd49w,Otsuna,3,4
349,Sd50e,Sakai,5,2
506,Sd50w,Tokiryu,3,4
560,Sd51e,Tochisuruga,3,4
474,Sd51w,Takanofusa,3,4
245,Sd52e,Subaru,4,3
265,Sd52w,Hanada,5,2
481,Sd53e,Enatsukasa,4,3
535,Sd53w,Dewanokuni,2,5
512,Sd54e,Onoshima,2,5
241,Sd54w,Haguroumi,3,4
213,Sd55e,Tochishimizu,0,0
361,Sd55w,Fukutaro,4,3
197,Sd56e,Maenowaka,6,1
531,Sd56w,Goki,2,5
437,Sd57e,Wakahamada,2,5
430,Sd57w,Tamao,3,4
449,Sd58e,Komahibiki,5,2
275,Sd58w,Kaiseizan,6,1
454,Sd59e,Gotsukasa,4,3
434,Sd59w,Endo,2,5
444,Sd60e,Sadanoshima,4,3
329,Sd60w,Itakura,3,4
277,Sd61e,Wakaseiryu,4,3
585,Sd61w,Mutsuryuyama,2,5
578,Sd62e,Asataiga,4,3
645,Sd62w,Tsukuda,4,3
388,Sd63e,Toyoizumi,4,3
235,Sd63w,Kototaishu,3,4
263,Sd64e,Ichinohana,3,4
403,Sd64w,Kaiko,6,1
451,Sd65e,Yokutsukasa,5,2
493,Sd65w,Toho,0,6
389,Sd66e,Higonomine,5,2
301,Sd66w,Takao,3,4
362,Sd67e,Kaishin,3,4
231,Sd67w,Kiyonosho,4,3
325,Sd68e,Datenishiki,5,2
355,Sd68w,Toyodome,3,4
141,Sd69e,Sakaguchi,4,3
534,Sd69w,Daishozan,0,0
324,Sd70e,Kyokushoten,6,1
649,Sd70w,Wakasuruga,1,6
398,Sd71e,Chiyokanzan,5,2
462,Sd71w,Chiyofubuki,2,5
442,Sd72e,Hirohata,3,4
367,Sd72w,Amorigawa,2,5
420,Sd73e,Hokutosho,3,4
201,Sd73w,Takekaze,4,3
383,Sd74e,Asatofuji,1,4
358,Sd74w,Oyashiki,3,4
457,Sd75e,Watanabe,4,3
574,Sd75w,Onomiya,4,3
476,Sd76e,Aratobi,3,4
485,Sd76w,Asanokiri,2,5
182,Sd77e,Kyokuhikari,7,0
303,Sd77w,Wakakiyama,1,6
320,Sd78e,Tominaga,4,3
390,Sd78w,Isonoumi,5,2
348,Sd79e,Takahashi,4,3
376,Sd79w,Kazashi,4,3
446,Sd80e,Shoji,5,2
360,Sd80w,Aogifuji,3,4
279,Sd81e,Shikinohana,2,5
593,Sd81w,Arakuma,3,4
280,Sd82e,Shimatora,5,2
333,Sd82w,Wakamitsuya,4,3
470,Sd83e,Terusegawa,5,2
556,Sd83w,Kokuryuzan,2,5
284,Sd84e,Chiyonomori,6,1
529,Sd84w,Tosho,3,4
445,Sd85e,Chiyonotaka,3,4
888,Sd85w,Kaihakuzan,4,3
489,Sd86e,Chokozan,4,3
414,Sd86w,Asahiryu,0,0
406,Sd87e,Kisenishiki,3,4
387,Sd87w,Kantoryu,3,4
527,Sd88e,Tamanotaka,3,4
271,Sd88w,Hanakaze,2,5
408,Sd89e,Wakatsuyoshi,2,5
386,Sd89w,Sasaki,2,5
543,Sd90e,Hokuryu,4,3
369,Sd90w,Kanko,4,3
492,Sd91e,Koyama,4,3
419,Sd91w,Ito,2,5
347,Sd92e,Kotoyama,5,2
441,Sd92w,Ryutozan,3,4
795,Sd93e,Tamaasuka,5,2
208,Sd93w,Arawaka,5,2
503,Sd94e,Senshumisaki,1,6
463,Sd94w,Azumamine,3,4
439,Sd95e,Washinoumi,3,4
453,Sd95w,Terukaze,4,3
170,Sd96e,Suginoyama,0,0
394,Sd96w,Seiryu,2,5
602,Sd97e,Hokuyuho,3,4
541,Sd97w,Hoshiazuma,3,4
269,Sd98e,Hokutoarashi,6,1
318,Sd98w,Wakahoshu,1,6
340,Sd99e,Koseiriki,4,3
399,Sd99w,Terunosato,3,4
511,Sd100e,Yotsuguruma,5,2
363,Sd100w,Tsurunomai,4,3
581,Jd1e,Jinnoumi,1,6
334,Jd1w,Hokutojo,5,2
413,Jd2e,Wakashoryu,2,5
708,Jd2w,Takamifuji,4,3
591,Jd3e,Fujikawa,2,5
490,Jd3w,Araumi,4,3
484,Jd4e,Kainonami,3,4
172,Jd4w,Akinosato,6,1
526,Jd5e,Sairyu,3,4
326,Jd5w,Tamanohikari,4,3
455,Jd6e,Tamaraiko,3,4
428,Jd6w,Koganefuji,5,2
576,Jd7e,Kaishoryu,4,3
550,Jd7w,Yamasaki,4,3
166,Jd8e,Daishoshi,5,2
409,Jd8w,Korin,3,4
630,Jd9e,Tamanosho,4,3
452,Jd9w,Oito,5,2
518,Jd10e,Kitanonami,0,0
416,Jd10w,Obamayama,3,4
783,Jd11e,Yamamoto,5,2
662,Jd11w,Kotoshiiba,2,5
223,Jd12e,Musashifuji,7,0
655,Jd12w,Nawata,4,3
436,Jd13e,Daikisho,3,4
480,Jd13w,Hashinomoto,4,3
359,Jd14e,Akaike,1,6
345,Jd14w,Shinkairiki,2,5
426,Jd15e,Maenokuni,0,7
440,Jd15w,Kagejishi,3,4
656,Jd16e,Hokutoizumi,3,4
856,Jd16w,Higashisaki,4,3
528,Jd17e,Raiho,4,3
569,Jd17w,Motozono,4,3
596,Jd18e,Maenishiki,2,5
372,Jd18w,Chokairyu,5,2
461,Jd19e,Nakano,5,2
498,Jd19w,Honma,1,6
397,Jd20e,Chikira,6,1
281,Jd20w,Takaminobori,2,1
592,Jd21e,Chiyonoran,2,5
475,Jd21w,Tamatsurumi,6,1
487,Jd22e,Danyu,2,5
