id,rank,rikishi,w,l
1111,Y1e,Harumafuji,11,4
1219,Y1w,Kakuryu,14,1
1123,Y2e,Hakuho,11,4
6468,O1e,Goeido,9,6
1235,O1w,Kisenosato,12,3
1226,O2e,Kotoshogiku,5,10
11927,O2w,Terunofuji,8,7
6480,S1e,Takayasu,7,8
6463,S1w,Okinoumi,5,10
12210,K1e,Mitakeumi,6,9
5944,K1w,Tamawashi,10,5
6473,M1e,Tochiozan,6,9
11786,M1w,Aoiyama,4,11
6753,M2e,Kaisei,3,12
5967,M2w,Yoshikaze,6,9
12055,M3e,Endo,7,8
12130,M3w,Shodai,11,4
9079,M4e,Kotoyuki,6,9
6642,M4w,Chiyonokuni,5,10
6614,M5e,Shohozan,8,7
11728,M5w,Takarafuji,9,6
6596,M6e,Nishikigi,4,11
6599,M6w,Tochinoshin,10,5
1284,M7e,Takekaze,9,6
11724,M7w,Takanoiwa,6,9
2879,M8e,Sadanoumi,3,12
6491,M8w,Ikioi,10,5
11784,M9e,Myogiryu,8,7
11845,M9w,Kagayaki,6,9
11785,M10e,Chiyoshoma,9,6
2832,M10w,Arawashi,11,4
7239,M11e,Kyokushuho,3,12
12239,M11w,Hokutofuji,9,6
12144,M12e,Daishomaru,7,8
6928,M12w,Chiyootori,6,9
12026,M13e,Hidenoumi,4,11
12107,M13w,Ichinojo,7,8
4980,M14e,Sokokurai,9,6
11934,M14w,Chiyotairyu,7,8
12051,M15e,Ishiura,10,5
6467,M15w,Toyohibiki,6,9
6572,M16e,Gagamaru,8,7
7240,J1e,Chiyomaru,6,9
7143,J1w,Amakaze,5,10
7153,J2e,Kotoeko,6,9
11840,J2w,Chiyoo,8,7
11726,J3e,Tokushoryu,6,9
12191,J3w,Sato,12,3
12043,J4e,Onosho,7,8
11985,J4w,Daieisho,8,7
12226,J5e,Ura,8,7
12113,J5w,Tsurugisho,7,8
11987,J6e,Osunaarashi,9,4
11723,J6w,Azumaryu,8,7
1405,J7e,Amuru,7,8
6531,J7w,Asahisho,6,9
89,J8e,Aminishiki,8,7
8904,J8w,Homarefuji,7,8
1241,J9e,Kitaharima,4,11
1009,J9w,Asasekiryu,4,11
813,J10e,Kitataiki,10,5
11989,J10w,Yamaguchi,9,6
8899,J11e,Kyokutaisei,10,5
6559,J11w,Seiro,11,4
12040,J12e,Daishoho,5,10
12292,J12w,Oyanagi,11,4
6594,J13e,Ryuden,9,6
2842,J13w,Sadanofuji,2,13
5985,J14e,Satoyama,9,6
11946,J14w,Meisei,5,10
11947,Ms1e,Rikishin,6,1
12273,Ms1w,Sakamoto,4,3
1058,Ms2e,Wakanoshima,4,3
9077,Ms2w,Kizenryu,4,3
12203,Ms3e,Iwasaki,2,5
7127,Ms3w,Asabenkei,4,3
2851,Ms4e,Fujiazuma,4,3
11965,Ms4w,Tochimaru,4,3
12024,Ms5e,Shimanoumi,2,5
6506,Ms5w,Kairyu,5,2
11855,Ms6e,Masunosho,2,5
795,Ms6w,Tamaasuka,0,0
12077,Ms7e,Takagenji,5,2
1227,Ms7w,Toyonoshima,4,3
7111,Ms8e,Irodori,3,4
12141,Ms8w,Shiba,5,2
6437,Ms9e,Mugendai,5,2
11868,Ms9w,Terutsuyoshi,7,0
8154,Ms10e,Higonojo,1,6
9067,Ms10w,Akinokawa,1,6
6538,Ms11e,Shosei,3,4
2909,Ms11w,Sakigake,3,4
6013,Ms12e,Dewahayate,3,4
11980,Ms12w,Goshi,4,3
6472,Ms13e,Terao,2,5
6445,Ms13w,Mizuguchi,0,0
12291,Ms14e,Ishibashi,5,2
11821,Ms14w,Ryuonami,3,4
1266,Ms15e,Nionoumi,3,4
7121,Ms15w,Tokushinho,3,4
9097,Ms16e,Kansei,2,5
11918,Ms16w,Akua,5,2
12285,Ms17e,Tamaki,4,3
6477,Ms17w,Mankajo,0,0
6770,Ms18e,Tenkaiho,4,3
9110,Ms18w,Aokishin,2,5
1141,Ms19e,Shotenro,6,1
2892,Ms19w,Ryusei,3,4
6600,Ms20e,Tochihiryu,4,3
11943,Ms20w,Hakuyozan,4,3
6552,Ms21e,Sotairyu,3,4
8900,Ms21w,Akiseyama,5,2
11972,Ms22e,Daiseido,5,2
6607,Ms22w,Gochozan,4,3
12117,Ms23e,Kotaro,3,4
940,Ms23w,Kotomisen,1,6
6565,Ms24e,Daishoryu,2,5
11743,Ms24w,Asakoki,4,3
11826,Ms25e,Goryu,4,3
6034,Ms25w,Sagatsukasa,1,6
12320,Ms26e,Kizaki,4,3
12068,Ms26w,Koba,2,5
6512,Ms27e,Hishofuji,3,4
12029,Ms27w,Kaito,4,3
11755,Ms28e,Tsurubayashi,5,2
12094,Ms28w,Abi,4,3
11730,Ms29e,Nogami,3,4
6464,Ms29w,Suzaku,2,5
8905,Ms30e,Daiseiho,6,1
11814,Ms30w,Onami,0,0
12075,Ms31e,Kaiseio,0,7
11741,Ms31w,Tochinobori,4,3
11978,Ms32e,Rikito,3,4
12140,Ms32w,Takaryu,3,4
6595,Ms33e,Okinofuji,3,4
2882,Ms33w,Nankairiki,4,3
6487,Ms34e,Takamisato,3,4
11809,Ms34w,Kotokuzan,4,3
12231,Ms35e,Kiribayama,5,2
7119,Ms35w,Tochinohama,5,2
12114,Ms36e,Takakento,2,5
5988,Ms36w,Oiwato,5,2
6475,Ms37e,Masutoo,3,4
7135,Ms37w,Hakunishiki,0,0
6612,Ms38e,Aozora,2,5
11764,Ms38w,Horyuyama,4,3
12076,Ms39e,Takayoshitoshi,4,3
335,Ms39w,Shoketsu,2,5
11976,Ms40e,Takakasuga,3,4
2929,Ms40w,Kagamio,6,1
6639,Ms41e,Kotokobai,5,2
12296,Ms41w,Ikegawa,0,0
6570,Ms42e,Fukugoriki,3,4
11950,Ms42w,Irie,6,1
12270,Ms43e,Kotokamatani,3,4
12098,Ms43w,Musashikuni,2,5
9123,Ms44e,Tomisakae,2,5
6646,Ms44w,Higoarashi,4,3
11767,Ms45e,Aonosho,3,4
11822,Ms45w,Sasakiyama,4,3
9119,Ms46e,Azumasato,4,3
6611,Ms46w,Hisanotora,0,1
12132,Ms47e,Tochiseiryu,2,5
6458,Ms47w,Yamatofuji,5,2
2836,Ms48e,Katsunofuji,4,3
6514,Ms48w,Byakko,4,3
11862,Ms49e,Fukamiyama,3,4
6012,Ms49w,Dewaotori,5,2
8901,Ms50e,Kisenoyama,1,6
