id,rank,rikishi,w,l
1123,Y1e,Hakuho,15,0
1219,Y1w,Kakuryu,10,5
1111,Y2e,Harumafuji,11,4
1235,O1e,Kisenosato,11,4
1226,O1w,Kotoshogiku,9,6
6468,O2w,Goeido,8,7
11786,S1e,Aoiyama,5,10
12107,S1w,Ichinojo,6,9
6480,K1e,Takayasu,6,9
6473,K1w,Tochiozan,7,8
11728,M1e,Takarafuji,7,8
6599,M1w,Tochinoshin,6,9
11927,M2e,Terunofuji,8,7
6491,M2w,Ikioi,1,14
12055,M3e,Endo,6,9
89,M3w,Aminishiki,6,9
1227,M4e,Toyonoshima,7,8
11971,M4w,Jokoryu,5,7
6753,M5e,Kaisei,7,8
11934,M5w,Chiyotairyu,1,6
6463,M6e,Okinoumi,9,6
6467,M6w,Toyohibiki,3,12
41,M7e,Kyokutenho,5,10
6928,M7w,Chiyootori,5,8
11784,M8e,Myogiryu,9,6
2879,M8w,Sadanoumi,9,6
5944,M9e,Tamawashi,10,5
1284,M9w,Takekaze,9,6
4980,M10e,Sokokurai,6,9
8904,M10w,Homarefuji,8,7
6614,M11e,Shohozan,8,7
5967,M11w,Yoshikaze,8,7
7239,M12e,Kyokushuho,8,7
2832,M12w,Arawashi,7,8
11987,M13e,Osunaarashi,8,7
2818,M13w,Tokitenku,9,6
9079,M14e,Kotoyuki,8,7
7240,M14w,Chiyomaru,7,8
2842,M15e,Sadanofuji,8,7
2929,M15w,Kagamio,7,8
11726,M16e,Tokushoryu,11,4
7115,M16w,Tosayutaka,0,2
1405,J1e,Amuru,8,7
39,J1w,Wakanosato,5,10
1009,J2e,Asasekiryu,5,10
6572,J2w,Gagamaru,11,4
813,J3e,Kitataiki,13,2
6497,J3w,Daido,6,9
6531,J4e,Asahisho,9,6
11724,J4w,Takanoiwa,6,9
1141,J5e,Shotenro,5,10
1241,J5w,Kitaharima,6,9
795,J6e,Tamaasuka,8,7
6767,J6w,Tochinowaka,0,0
6770,J7e,Tenkaiho,7,8
5985,J7w,Satoyama,5,10
2851,J8e,Fujiazuma,9,6
11845,J8w,Kagayaki,11,4
6559,J9e,Seiro,9,6
6552,J9w,Sotairyu,6,9
11840,J10e,Chiyoo,8,7
8900,J10w,Akiseyama,6,9
12043,J11e,Onosho,8,7
12026,J11w,Hidenoumi,9,6
11723,J12e,Azumaryu,6,9
7121,J12w,Tokushinho,5,10
11985,J13e,Daieisho,10,5
6600,J13w,Tochihiryu,4,11
2909,J14e,Sakigake,5,10
6654,J14w,Masunoyama,9,6
7143,Ms1e,Kawanari,4,3
7153,Ms1w,Kotoeko,4,3
8903,Ms2e,Keitenkai,3,4
12094,Ms2w,Horikiri,5,2
11972,Ms3e,Sasanoyama,2,5
6013,Ms3w,Dewahayate,2,5
9077,Ms4e,Kizenryu,4,3
296,Ms4w,Yoshiazuma,3,4
1058,Ms5e,Wakanoshima,4,3
11950,Ms5w,Irie,3,4
6646,Ms6e,Higoarashi,2,5
12051,Ms6w,Ishiura,6,1
6018,Ms7e,Homasho,0,0
6596,Ms7w,Nishikigi,5,2
12113,Ms8e,Abiko,5,2
11918,Ms8w,Akua,3,4
6506,Ms9e,Kairyu,3,4
940,Ms9w,Kotomisen,3,4
8899,Ms10e,Kyokutaisei,4,3
6607,Ms10w,Gochozan,4,3
11736,Ms11e,Chiyosakae,1,6
11943,Ms11w,Hakuyozan,3,4
12144,Ms12e,Kawabata,6,1
12140,Ms12w,Takagi,5,2
5988,Ms13e,Oiwato,5,2
11821,Ms13w,Ryuonami,2,5
6458,Ms14e,Yamatofuji,4,3
7109,Ms14w,Chiyoarashi,4,3
6034,Ms15e,Sagatsukasa,4,3
7156,Ms15w,Hokaho,4,3
6565,Ms16e,Daishoryu,3,4
11785,Ms16w,Chiyoshoma,2,5
11824,Ms17e,Masunoumi,3,4
9067,Ms17w,Akinokawa,1,6
12040,Ms18e,Daishoho,5,2
11946,Ms18w,Meisei,5,2
11764,Ms19e,Horyuyama,3,4
6445,Ms19w,Mizuguchi,3,4
7111,Ms20e,Matsumoto,2,5
1137,Ms20w,Sensho,1,6
11965,Ms21e,Tochimaru,4,3
6583,Ms21w,Daishoiwa,4,3
11868,Ms22e,Terutsuyoshi,6,1
11814,Ms22w,Onami,3,4
11749,Ms23e,Mitoyutaka,0,0
9110,Ms23w,Aokishin,3,4
7135,Ms24e,Hakunishiki,4,3
6612,Ms24w,Aozora,2,5
7127,Ms25e,Asabenkei,4,3
6464,Ms25w,Suzaku,4,3
11822,Ms26e,Sasakiyama,5,2
6622,Ms26w,Masakaze,5,2
11776,Ms27e,Ohara,3,4
11778,Ms27w,Haguroho,4,2
300,Ms28e,Dairaido,2,5
11984,Ms28w,Shinohara,1,6
7114,Ms29e,Tamadaiki,4,3
9064,Ms29w,Tochinosato,3,4
6472,Ms30e,Terao,2,5
6570,Ms30w,Fukugoriki,5,2
1273,Ms31e,Takakiho,3,4
11975,Ms31w,Wakayama,5,2
6475,Ms32e,Masutoo,5,2
6012,Ms32w,Dewaotori,1,6
1190,Ms33e,Kaonishiki,4,3
8154,Ms33w,Higonojo,3,4
11949,Ms34e,Kotodaigo,4,3
11755,Ms34w,Tsurubayashi,2,5
2836,Ms35e,Katsunofuji,3,4
1053,Ms35w,Kasugakuni,3,3
11947,Ms36e,Rikishin,5,2
12117,Ms36w,Kotaro,3,4
9075,Ms37e,Komakiryu,0,4
12130,Ms37w,Shodai,7,0
11741,Ms38e,Tochinobori,4,3
12114,Ms38w,Mizuta,2,5
11916,Ms39e,Ikeru,4,3
8901,Ms39w,Kisenoyama,5,2
12141,Ms40e,Shiba,2,5
6639,Ms40w,Kotokobai,4,3
6514,Ms41e,Byakko,4,3
8905,Ms41w,Daiseiho,3,4
11743,Ms42e,Asakoki,2,5
2904,Ms42w,Kaorufuji,2,5
1052,Ms43e,Kihonoumi,3,4
1266,Ms43w,Nionoumi,4,3
550,Ms44e,Musashiumi,4,3
6538,Ms44w,Shosei,3,4
12024,Ms45e,Hamaguchi,6,1
1054,Ms45w,Hitenryu,4,3
9076,Ms46e,Sasayama,3,4
12068,Ms46w,Koba,5,2
1131,Ms47e,Bungonishiki,2,5
7144,Ms47w,Notoazuma,2,5
11855,Ms48e,Masunosho,6,1
6642,Ms48w,Chiyonokuni,0,0
9073,Ms49e,Hokutowaka,3,4
2876,Ms49w,Tokachiumi,4,3
69,Ms50e,Towanoyama,1,6
9066,Ms50w,Akinoyama,5,2
6595,Ms51e,Okinofuji,4,3
1046,Ms51w,Asatenmai,4,3
2882,Ms52e,Nankairiki,5,2
5964,Ms52w,Hitachigo,6,1
4981,Ms53e,Hamaeiko,3,4
2849,Ms53w,Wakaryusei,3,4
11864,Ms54e,Nishiyama,3,4
6037,Ms54w,Daikamikaze,2,5
11780,Ms55e,Tetsuyuzan,4,3
11980,Ms55w,Goshi,3,4
6588,Ms56e,Komanokuni,4,3
6020,Ms56w,Yoshino,4,3
9123,Ms57e,Tomisakae,2,5
7151,Ms57w,Kotofukuju,4,3
12029,Ms58e,Kaito,4,2
5933,Ms58w,Kosei,2,5
6568,Ms59e,Yotsugamine,3,4
7164,Ms59w,Kototsubasa,1,6
6647,Ms60e,Oazuma,4,3
6477,Ms60w,Mankajo,3,4
5999,Sd1e,Karatsuumi,4,3
11809,Sd1w,Kotokuzan,3,4
11826,Sd2e,Goryu,3,4
11828,Sd2w,Daichi,4,3
5953,Sd3e,Notozakura,0,6
870,Sd3w,Maenofuji,3,4
9119,Sd4e,Azumasato,3,4
6437,Sd4w,Mugendai,5,2
6487,Sd5e,Takamisato,4,3
1040,Sd5w,Tokinowaka,0,0
7146,Sd6e,Okoryu,5,2
12076,Sd6w,Takayoshitoshi,5,2
179,Sd7e,Tenichi,1,6
11727,Sd7w,Amatsu,5,2
11952,Sd8e,Ugonoumi,0,0
12049,Sd8w,Fukuyamato,5,2
1406,Sd9e,Daigofuji,2,5
335,Sd9w,Shoketsu,3,4
11989,Sd10e,Daikiho,3,4
6483,Sd10w,Maeta,4,3
986,Sd11e,Shiroryu,6,1
6476,Sd11w,Hakiai,5,2
1115,Sd12e,Daionami,2,5
1042,Sd12w,Orora,4,3
497,Sd13e,Koshinoryu,3,4
2916,Sd13w,Kotokino,3,4
6548,Sd14e,Tokushuzan,4,3
6643,Sd14w,Wakakeisho,2,5
6577,Sd15e,Takunishiki,4,3
6441,Sd15w,Kotoninsei,3,4
12015,Sd16e,Fukushima,1,6
6611,Sd16w,Hisanotora,5,2
6481,Sd17e,Yoyonohana,2,5
128,Sd17w,Nishikikaze,2,5
7136,Sd18e,Matsubayama,6,1
11923,Sd18w,Rao,3,4
9118,Sd19e,Fukunokuni,4,3
2912,Sd19w,Yakunoshima,3,4
6594,Sd20e,Ryuden,7,0
11759,Sd20w,Kotodairyu,2,5
11768,Sd21e,Mitotsukasa,3,4
5986,Sd21w,Genkaiho,5,2
5954,Sd22e,Asanojo,2,5
12075,Sd22w,Kaiseio,4,3
11936,Sd23e,Hamayutaka,5,2
12077,Sd23w,Takagenji,5,2
7116,Sd24e,Daijo,1,6
5993,Sd24w,Otakayama,4,3
9068,Sd25e,Hokutohana,2,5
6009,Sd25w,Sadanokuni,4,3
7177,Sd26e,Aiyama,4,3
11767,Sd26w,Aonosho,6,1
7168,Sd27e,Kainishiki,3,4
11827,Sd27w,Yoshifuji,3,4
6533,Sd28e,Saio,3,4
6953,Sd28w,Aratoshi,0,0
800,Sd29e,Hienriki,4,3
6436,Sd29w,Buseizan,3,4
11730,Sd30e,Nogami,6,1
7130,Sd30w,Kainoryu,3,4
6585,Sd31e,Rendaiyama,4,3
1209,Sd31w,Kasugaryu,3,4
6521,Sd32e,Wakanofuji,3,4
11829,Sd32w,Aomihama,6,1
12098,Sd33e,Musashikuni,4,3
11925,Sd33w,Kirinofuji,4,3
12048,Sd34e,Kasugamaru,1,6
11862,Sd34w,Fukamiyama,2,5
2892,Sd35e,Ryusei,4,3
927,Sd35w,Kotootori,4,3
6033,Sd36e,Shunba,3,4
11836,Sd36w,Inabamaru,5,2
1010,Sd37e,Asanotosa,2,5
688,Sd37w,Kisomitsuru,2,5
11976,Sd38e,Takakasuga,5,2
11806,Sd38w,Fujinoumi,0,0
12013,Sd39e,Nakazono,3,4
12139,Sd39w,Shuji,1,6
523,Sd40e,Gorikiyama,5,2
