id,rank,rikishi,w,l
1123,Y1e,Hakuho,12,3
6432,O1e,Baruto,11,4
1111,O1w,Harumafuji,14,1
7,O2e,Kaio,3,8
2830,O2w,Kotooshu,9,6
1226,S1e,Kotoshogiku,11,4
1235,S1w,Kisenosato,10,5
1219,S2w,Kakuryu,10,5
6468,K1e,Goeido,5,10
6599,K1w,Tochinoshin,6,9
7115,M1e,Tosayutaka,0,4
5967,M1w,Yoshikaze,7,8
41,M2e,Kyokutenho,2,13
1227,M2w,Toyonoshima,9,6
900,M3e,Wakakoyu,5,10
89,M3w,Aminishiki,2,13
6463,M4e,Okinoumi,8,7
1284,M4w,Takekaze,8,7
6753,M5e,Kaisei,6,9
39,M5w,Wakanosato,9,6
5944,M6e,Tamawashi,5,10
6771,M6w,Aran,10,5
2818,M7e,Tokitenku,8,7
6572,M7w,Gagamaru,5,10
6473,M8e,Tochiozan,10,5
842,M8w,Miyabiyama,8,7
6018,M9e,Homasho,11,4
1009,M9w,Asasekiryu,6,9
813,M10e,Kitataiki,7,8
11728,M10w,Takarafuji,4,11
6480,M11e,Takayasu,9,6
6767,M11w,Tochinowaka,8,7
6497,M12e,Daido,6,9
6467,M12w,Toyohibiki,8,7
6034,M13e,Sagatsukasa,8,7
1141,M13w,Shotenro,7,8
875,M14e,Takamisakari,3,12
10,M14w,Tochinonada,6,9
2851,M15e,Fujiazuma,10,5
6010,M15w,Kimurayama,7,8
6654,J1e,Masunoyama,11,4
795,J1w,Tamaasuka,8,7
296,J2e,Yoshiazuma,9,6
864,J2w,Bushuyama,7,8
6614,J3e,Matsutani,7,8
152,J3w,Tamanoshima,6,9
1187,J4e,Kokkai,9,6
11786,J4w,Aoiyama,7,8
1032,J5e,Hochiyama,9,6
1215,J5w,Takanoyama,10,5
2879,J6e,Sadanoumi,7,8
1190,J6w,Kaonishiki,6,9
2842,J7e,Sadanofuji,9,6
6552,J7w,Sotairyu,8,7
8900,J8e,Akiseyama,2,13
5988,J8w,Kanbayashi,3,12
874,J9e,Hamanishiki,5,10
2835,J9w,Shironoryu,8,7
1134,J10e,Tsurugidake,10,5
6770,J10w,Tenkaiho,10,5
6642,J11e,Chiyonokuni,8,7
1204,J11w,Kakizoe,1,14
6042,J12e,Masuraumi,10,5
11784,J12w,Myogiryu,11,4
1054,J13e,Hitenryu,6,9
2832,J13w,Arawashi,5,10
1266,Ms1e,Nionoumi,5,2
1097,Ms1w,Oniarashi,1,6
7239,Ms2e,Kyokushuho,5,2
11850,Ms2w,Chiyozakura,5,2
7109,Ms3e,Chiyoarashi,5,2
662,Ms3w,Kotoyutaka,2,5
69,Ms4e,Towanoyama,2,5
6622,Ms4w,Kitazono,3,4
9079,Ms5e,Kotoyuki,4,3
11729,Ms5w,Naoe,7,0
2858,Ms6e,Tochitsubasa,1,5
5985,Ms6w,Satoyama,5,2
6436,Ms7e,Buseizan,3,4
11726,Ms7w,Tokushoryu,4,3
7121,Ms8e,Tokushinho,4,3
6491,Ms8w,Ikioi,4,3
1241,Ms9e,Kitaharima,4,3
1127,Ms9w,Hokutokuni,5,2
365,Ms10e,Kotokuni,2,5
6531,Ms10w,Asahisho,3,4
9064,Ms11e,Tochiyashiki,3,4
6512,Ms11w,Hishofuji,6,1
6928,Ms12e,Chiyootori,3,4
6643,Ms12w,Takateru,1,3
940,Ms13e,Kotomisen,4,3
6600,Ms13w,Tochihiryu,5,2
2849,Ms14e,Wakaryusei,2,5
6594,Ms14w,Ryuden,3,4
1137,Ms15e,Sensho,3,4
5936,Ms15w,Kazafuzan,3,4
8903,Ms16e,Kei,2,5
1031,Ms16w,Ryuo,2,5
6514,Ms17e,Byakko,3,4
1052,Ms17w,Kihonoumi,4,3
11723,Ms18e,Azumaryu,5,2
6476,Ms18w,Hakiai,3,4
6612,Ms19e,Aozora,4,3
1058,Ms19w,Wakanoshima,5,2
300,Ms20e,Dairaido,5,2
6483,Ms20w,Maeta,4,3
5933,Ms21e,Kosei,4,3
11821,Ms21w,Ryuonami,4,3
6570,Ms22e,Fukugoriki,3,4
6596,Ms22w,Kumagai,2,5
2820,Ms23e,Nakanokuni,3,4
5953,Ms23w,Notozakura,3,4
6498,Ms24e,Tenroku,2,5
6538,Ms24w,Shosei,1,6
8904,Ms25e,Homarefuji,6,1
2928,Ms25w,Fujimoto,4,3
8154,Ms26e,Higonojo,3,4
252,Ms26w,Rikiryu,5,2
9077,Ms27e,Kamei,4,3
1053,Ms27w,Kasugakuni,1,6
7240,Ms28e,Chiyomaru,4,3
2929,Ms28w,Kagamio,2,5
6646,Ms29e,Higoarashi,5,2
204,Ms29w,Ryuho,0,0
6577,Ms30e,Takunishiki,2,5
6475,Ms30w,Masutoo,4,3
2882,Ms31e,Nankairiki,4,3
6455,Ms31w,Hokuo,2,5
489,Ms32e,Chokozan,4,3
6472,Ms32w,Teraomaru,3,4
6506,Ms33e,Kairyu,3,4
6013,Ms33w,Dewahayate,5,2
2909,Ms34e,Sakigake,3,4
6477,Ms34w,Mankajo,3,4
11764,Ms35e,Sakaguchi,3,4
7125,Ms35w,Terashita,6,1
1046,Ms36e,Asatenmai,2,5
6585,Ms36w,Rendaiyama,3,4
11727,Ms37e,Amatsu,2,5
6559,Ms37w,Seiro,5,2
7143,Ms38e,Kawanari,5,2
8901,Ms38w,Yamashita,5,2
7119,Ms39e,Tochinohama,4,3
6020,Ms39w,Migikataagari,4,3
11732,Ms40e,Takageppo,5,2
625,Ms40w,Wakakasuga,1,6
1103,Ms41e,Hoshizakura,2,5
511,Ms41w,Yotsuguruma,4,3
2912,Ms42e,Yakunoshima,3,4
126,Ms42w,Tochinoyama,4,3
2916,Ms43e,Kotokino,4,3
1131,Ms43w,Bungonishiki,3,4
6492,Ms44e,Araumi,1,6
11724,Ms44w,Takanoiwa,0,0
1214,Ms45e,Tokitsukasa,4,3
6607,Ms45w,Torugawa,3,4
11934,Ms46e,Meigetsuin,6,1
6632,Ms46w,Masumiura,0,7
7135,Ms47e,Hakunishiki,4,3
1059,Ms47w,Sachiazuma,3,4
335,Ms48e,Shoketsu,6,1
2836,Ms48w,Katsunofuji,3,4
11780,Ms49e,Aisaka,2,5
1406,Ms49w,Ryujinsakari,4,3
1273,Ms50e,Takakiho,4,3
11822,Ms50w,Sasakiyama,4,3
1062,Ms51e,Hagane,5,2
147,Ms51w,Toyonokuni,5,2
7111,Ms52e,Matsumoto,5,2
1088,Ms52w,Chiyonishiki,2,5
6011,Ms53e,Fukunohana,3,4
927,Ms53w,Kotootori,3,4
179,Ms54e,Tenichi,5,2
6595,Ms54w,Okinofuji,3,4
7151,Ms55e,Kotofukuju,4,3
8899,Ms55w,Kyokutaisei,2,5
6588,Ms56e,Komanokuni,3,4
5993,Ms56w,Otakayama,2,5
1115,Ms57e,Daionami,4,3
11733,Ms57w,Takatoshi,5,2
9067,Ms58e,Akinokawa,3,4
5986,Ms58w,Genkaiho,3,4
550,Ms59e,Musashiumi,4,3
430,Ms59w,Tamao,2,5
6458,Ms60e,Yamatofuji,3,4
523,Ms60w,Gorikiyama,3,4
7138,Sd1e,Daishoumi,6,1
2876,Sd1w,Tokachiumi,4,3
6619,Sd2e,Kotokensei,1,6
6639,Sd2w,Kotokobai,4,3
6437,Sd3e,Mugendai,5,2
1405,Sd3w,Amuru,7,0
5943,Sd4e,Kaishin,2,5
670,Sd4w,Toyohikari,4,3
11749,Sd5e,Mitoyutaka,1,6
7153,Sd5w,Kotoeko,4,3
497,Sd6e,Koshinoryu,5,2
1122,Sd6w,Taiga,3,4
5964,Sd7e,Hitachigo,3,4
8905,Sd7w,Daiseiho,4,3
1006,Sd8e,Sadanishiki,3,4
6598,Sd8w,Tochinoshima,2,5
380,Sd9e,Higo,1,5
9118,Sd9w,Fukunokuni,3,4
9066,Sd10e,Akinoyama,1,6
6464,Sd10w,Suzaku,4,3
11824,Sd11e,Saishin,6,1
6636,Sd11w,Hokuoryu,4,3
11845,Sd12e,Tatsu,5,2
6515,Sd12w,Tokizakura,4,3
11785,Sd13e,Chiyoshoma,5,2
6554,Sd13w,Kotodaishin,4,3
11840,Sd14e,Chiyoo,6,1
9097,Sd14w,Kansei,3,4
2904,Sd15e,Kaorufuji,3,4
11779,Sd15w,Kamiyutaka,5,2
6445,Sd16e,Shoho,2,5
1042,Sd16w,Orora,5,2
504,Sd17e,Kainowaka,4,3
1128,Sd17w,Burinosato,3,4
688,Sd18e,Kisomitsuru,4,3
9076,Sd18w,Sasayama,3,4
4981,Sd19e,Hamaeiko,2,5
533,Sd19w,Wakakengo,4,3
1411,Sd20e,Mitohikari,3,4
2852,Sd20w,Nishiuchi,3,4
6532,Sd21e,Daikamifusa,2,5
986,Sd21w,Shiroryu,4,3
1253,Sd22e,Hokkairyu,5,2
136,Sd22w,Dewanosato,1,6
11826,Sd23e,Shibahara,2,5
800,Sd23w,Hienriki,3,4
1230,Sd24e,Miyamaru,5,2
2911,Sd24w,Maegunzan,4,3
944,Sd25e,Minanosato,2,5
7177,Sd25w,Aiyama,3,4
6471,Sd26e,Sato,4,3
6023,Sd26w,Ryutei,3,4
2919,Sd27e,Daishowaka,2,5
6002,Sd27w,Musoketsu,3,4
555,Sd28e,Goki,4,3
6012,Sd28w,Dewaotori,6,1
7127,Sd29e,Asabenkei,5,2
7144,Sd29w,Notoazuma,4,3
628,Sd30e,Hokutogo,1,6
9075,Sd30w,Inoue,4,3
