id,rank,rikishi,w,l
1123,Y1e,Hakuho,14,1
1219,Y1w,Kakuryu,11,4
1111,Y2e,Harumafuji,3,2
1226,O1e,Kotoshogiku,9,6
1235,O1w,Kisenosato,9,6
6468,O2w,Goeido,8,7
11784,S1e,Myogiryu,0,0
1284,S1w,Takekaze,7,8
11971,K1e,Jokoryu,4,11
11934,K1w,Chiyotairyu,1,10
11927,M1e,Terunofuji,6,9
12055,M1w,Endo,3,12
6480,M2e,Takayasu,7,8
1227,M2w,Toyonoshima,6,6
11786,M3e,Aoiyama,10,5
5967,M3w,Yoshikaze,7,8
11728,M4e,Takarafuji,8,7
11987,M4w,Osunaarashi,7,8
6467,M5e,Toyohibiki,8,7
6491,M5w,Ikioi,10,5
89,M6e,Aminishiki,10,5
6753,M6w,Kaisei,8,7
6614,M7e,Shohozan,6,9
6928,M7w,Chiyootori,8,7
6473,M8e,Tochiozan,11,4
2832,M8w,Arawashi,5,10
5944,M9e,Tamawashi,7,8
6767,M9w,Tochinowaka,4,11
12107,M10e,Ichinojo,13,2
813,M10w,Kitataiki,7,8
7240,M11e,Chiyomaru,4,11
11724,M11w,Takanoiwa,7,8
2879,M12e,Sadanoumi,8,7
2842,M12w,Sadanofuji,4,11
6018,M13e,Homasho,0,0
4980,M13w,Sokokurai,7,8
41,M14e,Kyokutenho,8,7
11723,M14w,Azumaryu,0,0
7239,M15e,Kyokushuho,7,8
6463,M15w,Okinoumi,10,5
2818,M16e,Tokitenku,6,9
2929,M16w,Kagamio,6,9
11726,J1e,Tokushoryu,12,3
1405,J1w,Amuru,9,6
8904,J2e,Homarefuji,11,4
6552,J2w,Sotairyu,5,10
1141,J3e,Shotenro,6,9
6572,J3w,Gagamaru,5,10
7115,J4e,Tosayutaka,6,9
9079,J4w,Kotoyuki,8,7
39,J5e,Wakanosato,6,9
6599,J5w,Tochinoshin,15,0
795,J6e,Tamaasuka,6,9
2851,J6w,Fujiazuma,7,8
1009,J7e,Asasekiryu,7,8
6654,J7w,Masunoyama,1,4
7121,J8e,Tokushinho,6,9
11840,J8w,Chiyoo,9,6
11985,J9e,Daieisho,6,9
5985,J9w,Satoyama,9,3
2909,J10e,Sakigake,6,9
6559,J10w,Seiro,9,6
6531,J11e,Asahisho,8,7
