id,rank,rikishi,w,l
1,Y1e,Akebono,13,2
2,O1e,Takanohana,13,2
1287,O1w,Konishiki,9,6
3,S1e,Wakanohana,13,2
4,S1w,Musashimaru,8,7
5,S2eHD,Takanonami,9,6
18,K1e,Takatoriki,8,7
1290,K1w,Wakashoyo,7,8
1301,M1e,Kirishima,3,12
12,M1w,Kotonishiki,12,3
49,M2e,Misugisato,5,10
14,M2w,Kotonowaka,8,7
48,M3e,Oginohana,4,11
1295,M3w,Kyokudozan,4,11
53,M4e,Tokitsunada,5,10
30,M4w,Kitakachidoki,5,10
45,M5e,Daishoho,5,10
28,M5w,Mitoizumi,9,6
1307,M6e,Daishoyama,5,10
42,M6w,Mainoumi,4,11
1302,M7e,Takamisugi,7,8
44,M7w,Kushimaumi,5,10
157,M8e,Tomoefuji,5,10
37,M8w,Kotoinazuma,5,10
60,M9e,Toyonoumi,7,8
1303,M9w,Kotofuji,11,4
9,M10e,Akinoshima,9,6
15,M10w,Oginishiki,4,11
33,M11e,Terao,8,7
26,M11w,Higonoumi,8,7
1288,M12e,Kotobeppu,9,6
1299,M12w,Kiraiho,8,7
1286,M13e,Kenko,9,6
23,M13w,Tochinowaka,10,5
51,M14e,Daizen,9,6
1296,M14w,Kasugafuji,9,6
16,M15e,Minatofuji,9,6
11,M15w,Aogiyama,5,10
52,M16e,Tomonohana,9,6
1306,M16w,Hitachiryu,5,10
87,J1e,Wakanoyama,6,9
1309,J1w,Tamakairiki,8,7
25,J2e,Hamanoshima,7,8
1315,J2w,Enazakura,8,7
67,J3e,Tochinofuji,6,9
1305,J3w,Kyokugozan,7,8
1285,J4e,Asahisato,8,7
1317,J4w,Hananokuni,5,10
1294,J5e,Naminohana,9,6
6,J5w,Musoyama,11,4
160,J6e,Tatsuhikari,12,3
7,J6w,Kaio,10,5
1292,J7e,Kotogaume,9,6
1311,J7w,Kototsubaki,8,7
82,J8e,Tochitenko,10,5
1310,J8w,Kirinishiki,10,5
34,J9e,Asanowaka,8,7
1313,J9w,Komafudo,3,12
55,J10e,Zenshinyama,6,9
91,J10w,Hoshiandesu,8,7
77,J11e,Yutakafuji,7,8
1319,J11w,Tachihikari,3,12
1289,J12e,Rikio,6,9
372,J12w,Chokairyu,7,8
62,J13e,Daishi,8,7
238,J13w,Umenosato,5,10
140,Ms1e,Ohidake,4,3
21,Ms1w,Asahiyutaka,3,4
191,Ms2e,Kiyonofuji,5,2
1297,Ms2w,Dairyu,2,5
1325,Ms3e,Wakatosho,3,4
1513,Ms3w,Godoriki,2,5
59,Ms4e,Kanesaku,5,2
144,Ms4w,Ikemori,3,4
63,Ms5e,Ouchi,3,3
133,Ms5w,Genkai,3,4
241,Ms6e,Haguroumi,2,5
145,Ms6w,Mineyama,4,3
73,Ms7e,Kanechika,5,2
76,Ms7w,Hoshitango,4,3
209,Ms8e,Asanonami,0,0
85,Ms8w,Daikiyama,3,4
1318,Ms9e,Shigenoumi,5,2
178,Ms9w,Kirinowaka,1,6
20,Ms10e,Shikishima,6,1
1314,Ms10w,Owakamatsu,4,3
174,Ms11e,Mutsuhokkai,7,0
1336,Ms11w,Takanonada,3,4
78,Ms12e,Toyozakura,4,3
36,Ms12w,Asasoyo,0,0
1323,Ms13e,Kumao,2,5
68,Ms13w,Goto,4,3
1322,Ms14e,Hidenoumi,1,6
177,Ms14w,Kurimoto,5,2
1328,Ms15e,Yamanakayama,3,4
1355,Ms15w,Goken,2,5
1395,Ms16e,Daitengo,3,4
138,Ms16w,Sentoryu,4,3
1341,Ms17e,Seifuriki,4,3
1340,Ms17w,Taishin,3,4
1776,Ms18e,Fusakaze,3,4
1316,Ms18w,Shirasaki,6,1
1428,Ms19e,Daikaizan,2,5
1391,Ms19w,Mitsueyama,3,4
1344,Ms20e,Akinomine,2,5
2047,Ms20w,Ozora,3,4
143,Ms21e,Daiden,5,2
1591,Ms21w,Yamanoumi,4,3
199,Ms22e,Kuniazuma,4,3
1503,Ms22w,Kusunokaze,1,6
1392,Ms23e,Akinokuni,6,1
196,Ms23w,Kakehata,3,4
1393,Ms24e,Daishoryu,3,4
24,Ms24w,Ganyu,3,4
234,Ms25e,Kotoasaki,5,2
120,Ms25w,Aranonami,5,2
1291,Ms26e,Sunahama,4,3
79,Ms26w,Kotofujimoto,4,3
66,Ms27e,Wakahayato,4,3
110,Ms27w,Wakakaze,3,4
134,Ms28e,Fukuzono,4,3
70,Ms28w,Kitazakura,4,3
83,Ms29e,Yamane,1,6
108,Ms29w,Ominato,5,2
1831,Ms30e,Hoshikakuo,2,5
1490,Ms30w,Kototaikai,4,3
1473,Ms31e,Kisenomori,2,5
1507,Ms31w,Jinryu,3,4
2780,Ms32e,Daio,4,3
1523,Ms32w,Tochiyutaka,2,2
1464,Ms33e,Tochigeno,2,5
1430,Ms33w,Minenofuji,2,5
1495,Ms34e,Mutsukonryu,3,4
1329,Ms34w,Daigaku,0,0
1492,Ms35e,Kusunosato,5,2
272,Ms35w,Shibiyama,0,4
1775,Ms36e,Tamamusashi,5,2
1447,Ms36w,Daishiryu,0,0
1469,Ms37e,Yohoyama,3,4
1609,Ms37w,Takamiwaka,5,2
98,Ms38e,Shimanoryu,4,3
1649,Ms38w,Kosenryu,0,1
188,Ms39e,Genkainami,6,1
156,Ms39w,Hiryu,5,2
54,Ms40e,Nishidayama,4,3
1298,Ms40w,Kotoarashi,6,1
109,Ms41e,Arauma,2,5
2781,Ms41w,Asanoyori,2,5
1293,Ms42e,Chiyonowaka,3,4
2191,Ms42w,Wakachikara,4,3
1443,Ms43e,Nijinoumi,3,4
29,Ms43w,Kotoryu,5,2
223,Ms44e,Musashifuji,4,3
1520,Ms44w,Hidenohana,2,5
1950,Ms45e,Tatsunohana,3,4
115,Ms45w,Kabutonishiki,4,3
119,Ms46e,Takamihana,3,4
1586,Ms46w,Daishinki,3,4
1668,Ms47e,Chiyohide,3,4
1575,Ms47w,Kototoyonaga,2,5
169,Ms48e,Ryukayama,4,3
1468,Ms48w,Narayama,6,1
1384,Ms49e,Takamio,3,4
1577,Ms49w,Tenraiyama,2,5
227,Ms50e,Takanohikari,4,3
27,Ms50w,Aka,4,3
121,Ms51e,Koriyama,5,2
1759,Ms51w,Toshu,3,4
75,Ms52e,Ogura,5,2
146,Ms52w,Takaseyama,4,3
32,Ms53e,Akinoryu,5,2
1634,Ms53w,Hidezakura,4,3
1642,Ms54e,Raiko,1,6
193,Ms54w,Komachikara,3,4
131,Ms55e,Nishikata,1,6
151,Ms55w,Fukunoryu,1,1
183,Ms56e,Kaisei,2,5
529,Ms56w,Ushiwakamaru,5,2
2102,Ms57e,Tendoriki,3,4
1570,Ms57w,Kiyominato,3,4
236,Ms58e,Takanosho,3,4
94,Ms58w,Kimenryu,5,2
1588,Ms59e,Aogakiyama,1,6
235,Ms59w,Kotoumeno,4,3
1346,Ms60e,Kengaku,4,3
1546,Ms60w,Kishinosato,3,4
1435,Sd1e,Shinshi,2,5
1394,Sd1w,Wakadozan,4,3
1536,Sd2e,Fusayutaka,0,0
283,Sd2w,Wakakudo,4,3
153,Sd3e,Nishida,5,2
274,Sd3w,Wakanoshima,3,4
124,Sd4e,Sumiya,4,3
155,Sd4w,Kitaazuma,2,5
192,Sd5e,Takaiyama,3,4
1664,Sd5w,Tsubasafuji,3,4
1592,Sd6e,Sekizawa,0,0
57,Sd6w,Yamato,3,4
373,Sd7e,Setonofuji,6,1
1763,Sd7w,Amagifuji,1,6
132,Sd8e,Kotonomine,6,1
1696,Sd8w,Ishida,4,3
1772,Sd9e,Araya,4,3
2359,Sd9w,Kotoo,0,0
35,Sd10e,Kyokushuzan,5,2
1555,Sd10w,Datenoumi,2,5
1538,Sd11e,Kotokabuto,0,7
1665,Sd11w,Hoshozan,2,5
189,Sd12e,Kunitachi,4,3
159,Sd12w,Kiyota,5,2
1398,Sd13e,Nanfu,4,3
1655,Sd13w,Kuroiwa,3,4
1976,Sd14e,Kotominami,4,3
46,Sd14w,Tsushimanada,7,0
1834,Sd15e,Furuichi,4,3
