id,rank,rikishi,w,l
1123,Y1e,Hakuho,14,1
878,Y1w,Asashoryu,13,2
8,O1e,Chiyotaikai,0,8
876,O1w,Kotomitsuki,8,7
7,O2e,Kaio,8,7
2830,O2w,Kotooshu,9,6
89,S1e,Aminishiki,5,10
1111,S1w,Ama,9,6
1226,K1e,Kotoshogiku,9,4
31,K1w,Dejima,3,12
1235,M1e,Kisenosato,10,5
2818,M1w,Tokitenku,6,9
1227,M2e,Toyonoshima,6,9
842,M2w,Miyabiyama,7,8
6468,M3e,Goeido,5,10
10,M3w,Tochinonada,5,10
39,M4e,Wakanosato,7,8
1009,M4w,Asasekiryu,10,5
1421,M5e,Roho,7,8
17,M5w,Tamakasuga,4,11
6432,M6e,Baruto,7,8
135,M6w,Hokutoriki,7,8
1284,M7e,Takekaze,12,3
6018,M7w,Homasho,4,11
1219,M8e,Kakuryu,11,4
6467,M8w,Toyohibiki,6,9
1187,M9e,Kokkai,9,6
924,M9w,Wakakirin,4,11
6527,M10e,Wakanoho,10,5
41,M10w,Kyokutenho,10,5
1204,M11e,Kakizoe,6,9
865,M11w,Kasugao,8,7
2834,M12e,Futeno,8,7
13,M12w,Tosanoumi,5,10
1087,M13e,Iwakiyama,9,6
152,M13w,Tamanoshima,3,12
875,M14e,Takamisakari,8,7
1018,M14w,Shimootori,1,1
6473,M15e,Tochiozan,8,7
5967,M15w,Yoshikaze,8,7
6766,M16e,Ichihara,8,7
40,M16w,Kaiho,8,7
107,J1e,Kasuganishiki,4,11
1106,J1w,Koryu,7,8
898,J2e,Chiyohakuho,5,10
1031,J2w,Ryuo,8,7
6620,J3e,Sakaizawa,9,6
1402,J3w,Hakurozan,8,7
206,J4e,Kotokasuga,8,7
63,J4w,Otsukasa,9,6
1032,J5e,Hochiyama,7,8
1104,J5w,Hoshihikari,9,6
175,J6e,Ushiomaru,5,10
78,J6w,Toyozakura,7,8
1136,J7e,Mokonami,9,6
99,J7w,Shunketsu,5,10
70,J8e,Kitazakura,10,5
1011,J8w,Hakuba,11,4
1243,J9e,Katayama,5,10
5984,J9w,Shirononami,8,7
2847,J10e,Masatsukasa,8,7
113,J10w,Asofuji,5,10
813,J11e,Kitataiki,8,7
6010,J11w,Kimurayama,6,9
5985,J12e,Satoyama,6,9
6599,J12w,Tochinoshin,12,3
929,J13e,Kirinowaka,7,8
5944,J13w,Tamawashi,10,5
900,J14e,Wakakoyu,7,8
97,J14w,Tochinohana,3,9
371,Ms1e,Kyokunankai,5,2
72,Ms1w,Tochisakae,2,4
6034,Ms2e,Sagatsukasa,4,3
864,Ms2w,Bushuyama,4,3
226,Ms3e,Wakatenro,4,3
1127,Ms3w,Hokutokuni,5,2
7115,Ms4e,Tosayutaka,5,2
1225,Ms4w,Asahimaru,0,0
296,Ms5e,Yoshiazuma,1,6
96,Ms5w,Jumonji,3,4
1190,Ms6e,Kaonishiki,2,5
4980,Ms6w,Sokokurai,4,3
2831,Ms7e,Hoshikaze,3,4
2930,Ms7w,Tokusegawa,2,5
204,Ms8e,Ryuho,4,3
1141,Ms8w,Shotenro,5,2
6577,Ms9e,Takunishiki,4,3
1152,Ms9w,Daiyubu,5,2
244,Ms10e,Ryugi,3,4
88,Ms10w,Tamarikido,3,4
6497,Ms11e,Nakanishi,3,4
6436,Ms11w,Nakano,4,3
662,Ms12e,Kotoyutaka,4,3
2858,Ms12w,Tochitsubasa,0,4
1137,Ms13e,Sensho,3,4
2842,Ms13w,Sadanofuji,4,3
789,Ms14e,Takakoyama,5,2
334,Ms14w,Hokutojo,0,0
172,Ms15e,Kirinoumi,2,5
365,Ms15w,Kotokuni,4,3
866,Ms16e,Surugatsukasa,2,5
1405,Ms16w,Amuru,4,3
880,Ms17e,Satsukiumi,3,4
784,Ms17w,Daishoyama,5,2
7138,Ms18e,Mori,4,3
216,Ms18w,Raiko,1,6
6463,Ms19e,Fukuoka,2,5
122,Ms19w,Daimanazuru,3,4
6579,Ms20e,Daishoyu,3,4
145,Ms20w,Kobo,0,0
6771,Ms21e,Aran,6,1
147,Ms21w,Toyonokuni,5,2
126,Ms22e,Tochinoyama,1,6
300,Ms22w,Dairaido,5,2
6643,Ms23e,Shimoda,3,4
982,Ms23w,Wakagiyama,3,4
335,Ms24e,Shoketsu,3,4
2820,Ms24w,Nakanokuni,6,1
795,Ms25e,Tamaasuka,3,4
6440,Ms25w,Sugita,4,3
179,Ms26e,Tenichi,4,3
5988,Ms26w,Kanbayashi,6,1
2879,Ms27e,Sadanoumi,4,3
1251,Ms27w,Sasaki,4,3
6770,Ms28e,Minami,6,1
430,Ms28w,Tamao,2,5
1130,Ms29e,Omiryu,2,5
785,Ms29w,Furuichi,2,5
1266,Ms30e,Nionoumi,3,4
