id,rank,rikishi,w,l
878,Y1e,Asashoryu,12,3
4,Y1w,Musashimaru,3,5
8,O1e,Chiyotaikai,10,5
19,O1w,Tochiazuma,13,2
7,O2e,Kaio,10,5
6,O2w,Musoyama,9,6
39,S1e,Wakanosato,7,8
41,S1w,Kyokutenho,4,11
875,K1e,Takamisakari,5,10
1087,K1w,Iwakiyama,6,9
10,M1e,Tochinonada,8,7
876,M1w,Kotomitsuki,6,9
38,M2e,Toki,9,6
13,M2w,Tosanoumi,10,5
89,M3e,Aminishiki,5,10
152,M3w,Tamanoshima,10,5
842,M4e,Miyabiyama,6,9
1009,M4w,Asasekiryu,3,12
5,M5e,Takanonami,5,10
35,M5w,Kyokushuzan,8,7
43,M6e,Kinkaiyama,6,9
50,M6w,Tokitsuumi,8,7
135,M7e,Hokutoriki,10,5
29,M7w,Kotoryu,7,8
105,M8e,Buyuzan,4,11
1204,M8w,Kakizoe,8,7
107,M9e,Kasuganishiki,8,7
1018,M9w,Shimotori,8,7
96,M10e,Jumonji,8,7
72,M10w,Tochisakae,7,8
287,M11e,Wakatoba,7,8
1284,M11w,Takekaze,9,6
14,M12e,Kotonowaka,7,3
71,M12w,Takanowaka,7,8
17,M13e,Tamakasuga,6,9
63,M13w,Otsukasa,5,10
78,M14e,Toyozakura,6,9
31,M14w,Dejima,11,4
88,M15e,Tamarikido,2,6
64,M15w,Yotsukasa,9,6
40,J1e,Kaiho,8,7
22,J1w,Gojoro,3,6
87,J2e,Wakanoyama,4,11
1187,J2w,Kokkai,14,1
34,J3e,Asanowaka,9,6
145,J3w,Kobo,8,7
175,J4e,Ushiomaru,11,4
129,J4w,Hayateumi,9,6
70,J5e,Kitazakura,10,5
92,J5w,Harunoyama,8,7
47,J6e,Chiyotenzan,8,7
130,J6w,Kaido,5,10
2834,J7e,Futeno,8,7
865,J7w,Kasugao,9,6
149,J8e,Juzan,4,11
11,J8w,Aogiyama,0,10
56,J9e,Masutsuyoshi,6,9
225,J9w,Takanotsuru,8,7
163,J10e,Senshuyama,4,11
101,J10w,Dewanofuji,4,11
97,J11e,Tochinohana,8,7
58,J11w,Oikari,11,4
116,J12e,Nakao,7,8
864,J12w,Bushuyama,7,8
69,J13e,Towanoyama,9,6
15,J13w,Oginishiki,0,0
1111,Ms1e,Ama,3,4
2818,Ms1w,Tokitenku,3,4
180,Ms2e,Wakainami,2,5
79,Ms2w,Kotoiwakuni,1,6
226,Ms3e,Wakatenro,5,2
68,Ms3w,Gokenzan,4,3
784,Ms4e,Daishodai,3,4
113,Ms4w,Asofuji,3,4
1421,Ms5e,Roho,5,2
138,Ms5w,Sentoryu,2,5
103,Ms6e,Tochifudo,5,2
874,Ms6w,Hamanishiki,4,3
25,Ms7e,Hamanoshima,3,4
