id,rank,rikishi,w,l
2,Y1e,Takanohana,12,3
4,Y1w,Musashimaru,12,3
7,O1e,Kaio,13,2
6,O1w,Musoyama,12,3
842,O2e,Miyabiyama,7,8
31,O2w,Dejima,8,7
8,O3e,Chiyotaikai,0,0
39,S1e,Wakanosato,6,9
10,S1w,Tochinonada,8,7
19,K1e,Tochiazuma,9,6
87,K1w,Wakanoyama,6,9
41,M1e,Kyokutenho,3,12
29,M1w,Kotoryu,1,6
47,M2e,Chiyotenzan,7,8
129,M2w,Hayateumi,6,9
5,M3e,Takanonami,6,9
876,M3w,Kotomitsuki,10,5
50,M4e,Tokitsuumi,6,9
71,M4w,Takanowaka,8,7
9,M5e,Akinoshima,5,10
35,M5w,Kyokushuzan,1,12
878,M6e,Asashoryu,9,6
14,M6w,Kotonowaka,6,9
17,M7e,Tamakasuga,9,6
72,M7w,Tochisakae,8,7
13,M8e,Tosanoumi,10,5
26,M8w,Higonoumi,6,9
40,M9e,Kaiho,8,7
18,M9w,Takatoriki,5,10
152,M10e,Tamanoshima,11,4
34,M10w,Asanowaka,7,8
25,M11e,Hamanoshima,5,10
97,M11w,Tochinohana,6,9
63,M12e,Otsukasa,8,7
33,M12w,Terao,8,7
43,M13e,Kinkaiyama,3,5
96,M13w,Jumonji,9,6
16,M14e,Minatofuji,6,9
62,M14w,Daishi,4,11
89,M15e,Aminishiki,8,7
88,J1e,Tamarikido,0,3
81,J1w,Wakakosho,8,7
874,J2e,Hamanishiki,9,6
11,J2w,Aogiyama,8,4
116,J3e,Wakatsutomu,10,5
51,J3w,Daizen,9,6
38,J4e,Toki,10,5
70,J4w,Kitazakura,9,6
15,J5e,Oginishiki,0,0
64,J5w,Yotsukasa,6,9
251,J6e,Wakatoryu,9,6
149,J6w,Juzan,6,9
167,J7e,Tamanokuni,5,9
199,J7w,Kuniazuma,7,8
92,J8e,Harunoyama,9,6
145,J8w,Kobo,8,7
99,J9e,Komahikari,3,12
138,J9w,Sentoryu,9,6
52,J10e,Tomonohana,6,9
107,J10w,Kasuganishiki,5,10
58,J11e,Oikari,0,0
78,J11w,Toyozakura,1,3
163,J12e,Senshuyama,6,9
74,J12w,Kotokanyu,9,6
56,J13e,Masutsuyoshi,8,7
225,J13w,Takanotsuru,9,6
875,Ms1e,Takamisakari,2,5
130,Ms1w,Tanaka,3,4
287,Ms2e,Yamada,4,3
222,Ms2w,Sumanofuji,5,2
80,Ms3e,Otoryu,3,4
20,Ms3w,Shikishima,0,0
1018,Ms4e,Shimotori,6,1
104,Ms4w,Wakaazuma,4,3
122,Ms5e,Daimanazuru,2,5
106,Ms5w,Torafusuyama,4,3
84,Ms6e,Tomikaze,0,0
126,Ms6w,Tochinoyama,2,5
69,Ms7e,Towanoyama,5,2
785,Ms7w,Komidori,3,4
300,Ms8e,Raido,4,3
268,Ms8w,Ueda,3,4
22,Ms9e,Gojoro,3,4
218,Ms9w,Wakakinryu,4,3
173,Ms10e,Ryukai,4,3
105,Ms10w,Buyuzan,5,2
66,Ms11e,Wakahayato,2,5
315,Ms11w,Nadatsukasa,4,3
135,Ms12e,Hokutoriki,3,4
118,Ms12w,Midorifuji,2,5
865,Ms13e,Kasugao,1,6
76,Ms13w,Hoshitango,5,2
134,Ms14e,Fukuzono,3,4
90,Ms14w,Fukkoyama,4,3
147,Ms15e,Minami,2,5
124,Ms15w,Saigo,6,1
205,Ms16e,Goto,4,3
784,Ms16w,Daishodai,4,3
86,Ms17e,Futatsukuba,3,4
380,Ms17w,Kakuo,1,6
296,Ms18e,Yoshiazuma,4,3
132,Ms18w,Kotonomine,3,4
119,Ms19e,Takamihana,1,6
180,Ms19w,Wakainami,5,2
27,Ms20e,Wakanojo,0,0
365,Ms20w,Kotokuni,4,3
95,Ms21e,Hidenokuni,5,2
103,Ms21w,Tochifudo,3,4
226,Ms22e,Wakatenro,5,2
175,Ms22w,Ushiomaru,6,1
171,Ms23e,Tsuchihashi,2,5
254,Ms23w,Konoryu,3,4
371,Ms24e,Kyokunankai,4,3
214,Ms24w,Toshinyama,2,5
113,Ms25e,Asofuji,4,3
161,Ms25w,Kotohikari,3,4
246,Ms26e,Kyokutenzan,5,2
204,Ms26w,Ryuho,3,4
146,Ms27e,Fukuseyama,4,3
82,Ms27w,Tochitenko,4,3
79,Ms28e,Kotoiwakuni,5,2
68,Ms28w,Gokenzan,3,4
94,Ms29e,Kimenryu,5,2
75,Ms29w,Daihisho,2,5
306,Ms30e,Wakayuki,4,3
112,Ms30w,Gokokuyama,0,0
142,Ms31e,Tsujimoto,1,6
150,Ms31w,Tokiyutaka,6,1
264,Ms32e,Hokutowaka,1,6
1009,Ms32w,Asasekiryu,3,4
100,Ms33e,Shinmei,3,4
73,Ms33w,Kanechika,5,2
176,Ms34e,Narahikari,3,4
114,Ms34w,Yanagi,3,4
153,Ms35e,Takinooto,2,5
319,Ms35w,Wakashinobu,4,3
101,Ms36e,Dewanofuji,5,2
312,Ms36w,Hokutomine,0,0
120,Ms37e,Aranonami,3,4
111,Ms37w,Tochitaiki,3,4
243,Ms38e,Akinohana,4,3
121,Ms38w,Masunobori,4,3
787,Ms39e,Kumai,0,2
158,Ms39w,Natsubori,4,3
179,Ms40e,Tenichi,6,1
258,Ms40w,Hiyoriyama,2,5
314,Ms41e,Daihoyama,2,5
59,Ms41w,Susanoumi,5,2
197,Ms42e,Maenowaka,3,4
252,Ms42w,Rikiryuyama,3,4
261,Ms43e,Isshin,2,5
128,Ms43w,Nishikikaze,7,0
182,Ms44e,Kyokuhikari,4,3
333,Ms44w,Wakamitsuya,2,5
240,Ms45e,Shigezakura,4,3
239,Ms45w,Maikaze,4,3
456,Ms46e,Omusashi,5,2
256,Ms46w,Kotohino,5,2
174,Ms47e,Mutsuhokkai,3,4
151,Ms47w,Fusanohana,3,4
194,Ms48e,Hidanodake,3,4
154,Ms48w,Toshinriki,4,3
247,Ms49e,Moriyasu,5,2
136,Ms49w,Dewanosato,5,2
244,Ms50e,Kaishozan,3,4
329,Ms50w,Itakura,4,3
216,Ms51e,Raiko,3,4
462,Ms51w,Chiyofubuki,1,6
391,Ms52e,Onowaka,4,3
265,Ms52w,Hanada,2,5
207,Ms53e,Kotokusuwaka,2,5
879,Ms53w,Tashiro,4,3
369,Ms54e,Kanko,2,5
430,Ms54w,Tamao,4,3
250,Ms55e,Shindo,5,2
311,Ms55w,Naminooto,3,4
324,Ms56e,Kyokushoten,2,5
185,Ms56w,Yoshio,3,4
275,Ms57e,Kaiseizan,2,5
310,Ms57w,Hakuonada,3,4
308,Ms58e,Asahayate,3,4
481,Ms58w,Enatsukasa,5,2
143,Ms59e,Daiden,4,3
223,Ms59w,Musashifuji,4,3
375,Ms60e,Tenju,0,7
168,Ms60w,Hokutoiwa,6,1
339,Sd1e,Hayasegawa,5,2
576,Sd1w,Kaishoryu,3,4
165,Sd2e,Kawaguchi,4,3
291,Sd2w,Tochiarashi,4,3
190,Sd3e,Wakachikuba,4,3
381,Sd3w,Katsumayama,4,3
361,Sd4e,Fukutaro,2,5
451,Sd4w,Yokutsukasa,3,4
336,Sd5e,Yoshikiyama,4,3
232,Sd5w,Nanbara,5,2
162,Sd6e,Tamaryoma,5,2
139,Sd6w,Asahiumi,3,4
353,Sd7e,Fujitsukasa,2,5
325,Sd7w,Datenishiki,2,5
278,Sd8e,Matsunotani,4,3
230,Sd8w,Kiyoazuma,3,4
356,Sd9e,Motohashi,2,5
123,Sd9w,Rachimi,6,1
999,Sd10e,Takanofuji,3,4
645,Sd10w,Tsukuda,3,4
237,Sd11e,Fujinokaze,4,3
335,Sd11w,Komanofuji,6,1
294,Sd12e,Masutaka,4,3
1012,Sd12w,Hisanohana,1,6
125,Sd13e,Munakata,0,0
141,Sd13w,Sakaguchi,1,4
431,Sd14e,Higonoshima,1,6
307,Sd14w,Kakureiho,4,3
280,Sd15e,Tetsugiu,5,2
281,Sd15w,Takaminobori,2,5
403,Sd16e,Kaiko,3,4
437,Sd16w,Wakahamada,3,4
115,Sd17e,Kabutonishiki,5,2
511,Sd17w,Yotsuguruma,3,4
289,Sd18e,Kaigo,4,3
342,Sd18w,Masuhisashi,5,2
444,Sd19e,Sadanoshima,3,4
229,Sd19w,Tokugoyama,4,3
159,Sd20e,Kiyonoumi,2,5
469,Sd20w,Tenpozan,2,5
795,Sd21e,Tamaasuka,6,1
198,Sd21w,Tsurusaki,4,3
269,Sd22e,Hokutoarashi,0,0
338,Sd22w,Wakabusho,3,4
270,Sd23e,Koshinoyama,0,0
602,Sd23w,Hokuyuho,2,5
217,Sd24e,Takanoumi,0,0
376,Sd24w,Kazashi,2,5
273,Sd25e,Tochimusashi,5,2
407,Sd25w,Futasegawa,4,3
571,Sd26e,Matsumidori,3,4
206,Sd26w,Kotokasuga,5,2
184,Sd27e,Shiganoumi,3,4
334,Sd27w,Hokutojo,4,3
446,Sd28e,Shoji,3,4
490,Sd28w,Araumi,4,3
585,Sd29e,Mutsuryuyama,3,4
390,Sd29w,Isonoumi,4,3
394,Sd30e,Seiryu,4,3
277,Sd30w,Wakaseiryu,3,4
202,Sd31e,Teruazuma,6,1
117,Sd31w,Matenro,4,3
528,Sd32e,Raiho,2,5
779,Sd32w,Chiyonohana,5,2
423,Sd33e,Muranaka,5,2
386,Sd33w,Sazanami,3,4
279,Sd34e,Shikinohana,2,5
662,Sd34w,Kotoshiiba,2,5
360,Sd35e,Aogifuji,4,3
200,Sd35w,Tatsukabuto,5,2
172,Sd36e,Akinosato,2,3
321,Sd36w,Haguronada,5,2
36,Sd37e,Asanosho,6,1
148,Sd37w,Aoba,5,2
187,Sd38e,Nakabuchi,3,4
388,Sd38w,Toyoizumi,0,0
235,Sd39e,Kototaishu,1,6
395,Sd39w,Ryuyo,3,4
347,Sd40e,Kotoyama,3,4
474,Sd40w,Takanofusa,4,3
708,Sd41e,Takamifuji,0,0
276,Sd41w,Wakasatsuma,2,5
516,Sd42e,Omae,4,3
285,Sd42w,Chiyotenma,3,4
540,Sd43e,Shikinoumi,1,4
362,Sd43w,Kaishin,4,3
786,Sd44e,Ominami,5,2
404,Sd44w,Hirano,0,7
596,Sd45e,Maenishiki,3,4
681,Sd45w,Yukinofuji,4,3
470,Sd46e,Shodai,4,3
442,Sd46w,Hirohata,3,4
475,Sd47e,Tamaaoi,4,3
655,Sd47w,Nawata,2,5
259,Sd48e,Asakiumi,6,1
898,Sd48w,Chiyohakuho,4,3
583,Sd49e,Yutakaumi,5,2
504,Sd49w,Kainowaka,4,3
688,Sd50e,Kisomitsuru,1,6
213,Sd50w,Tochishimizu,4,3
420,Sd51e,Hokutosho,2,5
1032,Sd51w,Hochiyama,3,4
575,Sd52e,Matsunoryu,1,6
789,Sd52w,Takakoyama,6,1
465,Sd53e,Tsuteno,3,4
543,Sd53w,Hokuryu,2,5
241,Sd54e,Haguroumi,2,5
428,Sd54w,Koganefuji,3,4
236,Sd55e,Takanosho,5,2
303,Sd55w,Wakakiyama,5,0
521,Sd56e,Maenoshima,1,6
574,Sd56w,Onomiya,5,2
649,Sd57e,Wakasuruga,4,3
367,Sd57w,Sakurakaze,3,4
351,Sd58e,Imaarashi,3,4
383,Sd58w,Asatofuji,3,4
355,Sd59e,Toyodome,4,3
406,Sd59w,Kisenishiki,3,4
783,Sd60e,Yamamoto,5,2
707,Sd60w,Fujinokuni,3,4
489,Sd61e,Chokozan,5,2
302,Sd61w,Tochio,4,3
1087,Sd62e,Iwakiyama,7,0
480,Sd62w,Futamusashi,4,3
844,Sd63e,Toshoka,4,3
313,Sd63w,Azumayama,2,5
566,Sd64e,Wakasaumi,0,0
458,Sd64w,Azumao,3,4
453,Sd65e,Terukaze,3,4
533,Sd65w,Wakakengo,2,5
384,Sd66e,Matsuda,4,3
