id,rank,rikishi,w,l
1,Y1e,Akebono,11,4
3,O1e,Wakanohana,11,4
2,O1w,Takanohana,14,1
4,S1e,Musashimaru,12,3
5,S1w,Takanonami,13,2
12,S2eHD,Kotonishiki,9,6
1287,S2wHD,Konishiki,2,13
52,K1e,Tomonohana,4,11
1290,K1w,Wakashoyo,6,9
14,M1e,Kotonowaka,6,9
23,M1w,Tochinowaka,8,7
9,M2e,Akinoshima,4,11
1288,M2w,Kotobeppu,3,12
51,M3e,Daizen,8,7
6,M3w,Musoyama,10,5
49,M4e,Misugisato,8,7
1303,M4w,Kotofuji,3,12
15,M5e,Oginishiki,7,8
45,M5w,Daishoho,0,0
1286,M6e,Kenko,6,9
7,M6w,Kaio,8,7
18,M7e,Takatoriki,6,9
44,M7w,Kushimaumi,1,2
33,M8e,Terao,8,7
30,M8w,Kitakachidoki,8,7
1299,M9e,Kiraiho,6,9
1309,M9w,Tamakairiki,2,13
1295,M10e,Kyokudozan,8,7
1302,M10w,Takamisugi,8,7
28,M11e,Mitoizumi,8,7
60,M11w,Toyonoumi,6,9
42,M12e,Mainoumi,8,7
37,M12w,Kotoinazuma,8,7
26,M13e,Higonoumi,8,7
1296,M13w,Kasugafuji,9,6
25,M14e,Hamanoshima,8,7
1301,M14w,Kirishima,8,7
1307,M15e,Daishoyama,9,6
53,M15w,Tokitsunada,9,6
1311,M16e,Kototsubaki,7,8
34,J1e,Asanowaka,9,6
11,J1w,Aogiyama,9,6
1285,J2e,Asahisato,9,6
16,J2w,Minatofuji,8,7
91,J3e,Hoshiandesu,8,7
1292,J3w,Kotogaume,10,5
1305,J4e,Kyokugozan,8,7
48,J4w,Oginohana,5,10
160,J5e,Tatsuhikari,6,9
62,J5w,Daishi,7,8
1294,J6e,Naminohana,11,4
1306,J6w,Hitachiryu,8,7
21,J7e,Asahiyutaka,7,8
1317,J7w,Hananokuni,2,6
157,J8e,Tomoefuji,7,8
20,J8w,Shikishima,6,9
73,J9e,Kanechika,7,8
82,J9w,Tochitenko,5,10
1315,J10e,Enazakura,7,8
55,J10w,Zenshinyama,8,7
140,J11e,Ohidake,4,11
174,J11w,Mutsuhokkai,8,7
1316,J12e,Oyamato,5,10
372,J12w,Chokairyu,6,9
1310,J13e,Kirinishiki,8,7
76,J13w,Hoshitango,10,5
144,Ms1e,Ryudo,4,3
1314,Ms1w,Owakamatsu,4,3
143,Ms2e,Daiden,4,3
133,Ms2w,Genkai,5,2
108,Ms3e,Ominato,2,5
191,Ms3w,Kiyonofuji,3,4
1328,Ms4e,Yamanakayama,3,4
67,Ms4w,Tochinofuji,5,2
238,Ms5e,Umenosato,4,3
87,Ms5w,Wakanoyama,7,0
85,Ms6e,Daikiyama,3,4
1313,Ms6w,Komafudo,5,2
1318,Ms7e,Shigenoumi,2,5
138,Ms7w,Sentoryu,2,5
188,Ms8e,Genkainami,5,2
1297,Ms8w,Dairyu,4,3
1289,Ms9e,Rikio,4,3
36,Ms9w,Ozawa,4,3
241,Ms10e,Haguroumi,4,3
177,Ms10w,Kurimoto,3,4
120,Ms11e,Aranonami,2,5
110,Ms11w,Wakakaze,3,4
1591,Ms12e,Yamanoumi,1,6
1775,Ms12w,Tamamusashi,3,4
54,Ms13e,Nishidayama,6,1
121,Ms13w,Koriyama,4,3
1323,Ms14e,Kumao,2,5
234,Ms14w,Kotoasaki,1,6
32,Ms15e,Akinoshu,5,2
77,Ms15w,Yutakafuji,3,4
68,Ms16e,Goto,2,5
178,Ms16w,Kirinowaka,5,2
1586,Ms17e,Daishinki,2,5
29,Ms17w,Kotoryu,6,1
1291,Ms18e,Sunahama,5,2
66,Ms18w,Wakahayato,5,2
1298,Ms19e,Kotoarashi,5,2
134,Ms19w,Fukuzono,2,5
80,Ms20e,Nakanoyama,2,5
1395,Ms20w,Daitengo,4,3
70,Ms21e,Kitazakura,4,3
132,Ms21w,Kotonomine,0,0
196,Ms22e,Kakehata,0,3
145,Ms22w,Mineyama,4,3
35,Ms23e,Kyokushuzan,4,3
1468,Ms23w,Narayama,3,4
2781,Ms24e,Asanoyori,0,1
1428,Ms24w,Daikaizan,3,4
146,Ms25e,Takaseyama,3,4
1340,Ms25w,Murai,4,3
1492,Ms26e,Kusunosato,4,3
1825,Ms26w,Morimoto,5,2
199,Ms27e,Kuniazuma,4,3
1341,Ms27w,Seifuriki,3,4
1391,Ms28e,Mitsueyama,2,5
209,Ms28w,Asanonami,3,4
24,Ms29e,Ganyu,3,4
1319,Ms29w,Tachihikari,0,7
1336,Ms30e,Takanonada,3,4
1473,Ms30w,Kisenomori,4,3
75,Ms31e,Ogura,3,4
1392,Ms31w,Akinokuni,4,3
1523,Ms32e,Tochiyutaka,4,3
272,Ms32w,Shibiyama,3,4
1293,Ms33e,Chiyonowaka,4,3
1609,Ms33w,Takamiwaka,5,2
1616,Ms34e,Yukinoumi,5,2
223,Ms34w,Musashifuji,3,4
1634,Ms35e,Hidezakura,2,5
1435,Ms35w,Shinshi,3,4
1972,Ms36e,Shinkai,6,1
1673,Ms36w,Tokuoyama,1,6
46,Ms37e,Tsushimanada,3,4
83,Ms37w,Yamane,5,2
1322,Ms38e,Hidenoumi,2,5
119,Ms38w,Takamihana,4,3
1507,Ms39e,Jinryu,2,5
74,Ms39w,Kotononada,6,1
63,Ms40e,Ouchi,3,4
94,Ms40w,Kimenryu,5,2
27,Ms41e,Aka,4,3
124,Ms41w,Sumiya,5,2
1577,Ms42e,Tenraiyama,4,3
1355,Ms42w,Goken,3,4
2398,Ms43e,Murotani,3,4
1344,Ms43w,Akinomine,4,3
59,Ms44e,Masakabuto,0,0
1513,Ms44w,Godoriki,1,6
227,Ms45e,Takanohikari,4,3
1831,Ms45w,Hoshikakuo,3,4
1585,Ms46e,Owa,3,4
1503,Ms46w,Kusunokaze,4,3
1776,Ms47e,Fusakaze,2,5
123,Ms47w,Rachimi,3,4
153,Ms48e,Nishida,5,2
1469,Ms48w,Yohoyama,4,3
78,Ms49e,Toyozakura,5,2
242,Ms49w,Yoshinosato,1,6
72,Ms50e,Tochinoiwa,2,5
57,Ms50w,Yamato,5,2
283,Ms51e,Wakakudo,3,4
1398,Ms51w,Nanfu,6,1
159,Ms52e,Kiyota,4,3
2399,Ms52w,Asai,4,3
95,Ms53e,Miyashita,2,5
98,Ms53w,Shimanoryu,2,5
1443,Ms54e,Nijinoumi,3,4
1384,Ms54w,Takamio,4,3
102,Ms55e,Kyokubenten,5,2
255,Ms55w,Azumaumi,3,4
156,Ms56e,Hiryu,2,5
142,Ms56w,Tsujimoto,3,4
2047,Ms57e,Ozora,2,5
1772,Ms57w,Araya,2,2
1950,Ms58e,Tatsunohana,0,0
1490,Ms58w,Kototaikai,5,2
1495,Ms59e,Aonoshima,6,1
1768,Ms59w,Hinoryu,3,4
1655,Ms60e,Kuroiwa,4,3
1624,Ms60w,Fukujuryu,1,6
17,Ms60TD,Tamakasuga,4,3
2784,Ms60TD,Tsuruga,5,2
93,Ms60TD,Fuku,3,4
169,Sd1e,Ryukayama,4,3
529,Sd1w,Ushiwakamaru,6,1
387,Sd2e,Kantoryu,2,5
212,Sd2w,Yamanaka,2,5
197,Sd3e,Goshoiwa,3,4
1615,Sd3w,Minatoiwa,3,4
2780,Sd4e,Daio,4,3
1394,Sd4w,Wakadozan,4,3
109,Sd5e,Arauma,4,3
1696,Sd5w,Genshu,4,3
104,Sd6e,Wakaazuma,5,2
81,Sd6w,Miura,2,5
1834,Sd7e,Furuichi,3,4
373,Sd7w,Setonofuji,5,2
189,Sd8e,Kunitachi,3,4
1670,Sd8w,Dairyuyama,1,4
2191,Sd9e,Wakachikara,0,0
79,Sd9w,Kotofujimoto,2,5
2055,Sd10e,Tatsukaze,3,4
183,Sd10w,Kaisei,4,3
154,Sd11e,Toshinriki,5,2
193,Sd11w,Komachikara,4,3
235,Sd12e,Kotoumeno,3,4
1346,Sd12w,Kengaku,4,3
131,Sd13e,Nishikata,6,1
2102,Sd13w,Tendoriki,5,2
1599,Sd14e,Matsumusashi,0,7
1555,Sd14w,Datenoumi,4,3
1763,Sd15e,Amagifuji,3,4
8,Sd15w,Chiyotaikai,7,0
1766,Sd16e,Fukuda,3,3
1464,Sd16w,Tochigeno,1,1
1762,Sd17e,Hagurosato,1,6
1538,Sd17w,Kotokabuto,4,3
1633,Sd18e,Yoshiwaka,3,4
1668,Sd18w,Chiyohide,2,5
1452,Sd19e,Kotonobori,3,4
41,Sd19w,Kyokutenho,5,2
115,Sd20e,Kabutonishiki,5,2
186,Sd20w,Higashinogai,4,3
1445,Sd21e,Shimamusashi,1,6
305,Sd21w,Bangakurai,5,2
192,Sd22e,Takaiyama,4,3
318,Sd22w,Wakahoshu,3,4
236,Sd23e,Takanosho,3,4
1300,Sd23w,Daiki,4,3
187,Sd24e,Nakabuchi,4,3
2033,Sd24w,Kyokuomaru,4,3
1876,Sd25e,Yoshinoshima,2,5
1664,Sd25w,Tsubasafuji,4,3
1502,Sd26e,Kisezakura,2,5
208,Sd26w,Nagai,3,4
278,Sd27e,Matsunotani,5,2
1765,Sd27w,Takaminishiki,2,5
1554,Sd28e,Ryuho,2,5
43,Sd28w,Kanenoumi,3,4
1859,Sd29e,Hokuho,6,1
1985,Sd29w,Wakagoshi,3,4
1546,Sd30e,Kishinosato,4,3
38,Sd30w,Tamaki,3,4
321,Sd31e,Haguronada,4,3
161,Sd31w,Kotoishii,3,4
1627,Sd32e,Kyokukoyama,5,2
1733,Sd32w,Raio,2,5
2809,Sd33e,Nagamoto,5,2
1588,Sd33w,Aogakiyama,1,6
2066,Sd34e,Sugino,3,4
274,Sd34w,Wakanoshima,4,3
117,Sd35e,Shirata,5,2
1520,Sd35w,Hidenohana,2,5
84,Sd36e,Tomikaze,2,5
298,Sd36w,Takarafuji,6,1
200,Sd37e,Tatsukabuto,4,3
1482,Sd37w,Kotounryu,3,4
268,Sd38e,Ueda,4,3
1537,Sd38w,Kiryuyama,4,3
136,Sd39e,Dewanosato,3,4
1874,Sd39w,Kagamiwaka,4,3
2797,Sd40e,Tomonoumi,3,4
1665,Sd40w,Hoshozan,5,2
1331,Sd41e,Saganobori,3,4
428,Sd41w,Koganefuji,1,6
184,Sd42e,Shiganoumi,4,3
151,Sd42w,Fukunoryu,5,2
1907,Sd43e,Saganoumi,3,4
1779,Sd43w,Wakahayate,2,5
1991,Sd44e,Meitoriki,3,4
149,Sd44w,Ishizaki,6,1
1759,Sd45e,Toshu,4,3
1700,Sd45w,Edonofuji,2,5
1663,Sd46e,Tamanoyama,4,3
1976,Sd46w,Kotominami,2,5
245,Sd47e,Inanofuji,5,2
304,Sd47w,Kaiten,5,2
1836,Sd48e,Maedaiko,4,3
440,Sd48w,Kagejishi,3,4
171,Sd49e,Tsuchihashi,3,4
141,Sd49w,Sakaguchi,3,4
1571,Sd50e,Wakita,1,6
233,Sd50w,Maekado,2,5
101,Sd51e,Dewanofuji,5,2
1570,Sd51w,Kiyominato,5,2
47,Sd52e,Chiyotenzan,6,1
1674,Sd52w,Ryukiyama,3,4
22,Sd53e,Gojoro,7,0
1915,Sd53w,Tsugarufuji,4,3
92,Sd54e,Haruyama,3,4
1598,Sd54w,Namichikara,3,4
2011,Sd55e,Tsunenofuji,4,3
307,Sd55w,Tsurunomori,0,1
1709,Sd56e,Okaze,2,5
39,Sd56w,Kogawa,4,3
2035,Sd57e,Tsureyama,4,3
150,Sd57w,Tokiyutaka,4,3
1837,Sd58e,Kotokenzan,4,3
316,Sd58w,Wakatamate,1,6
1780,Sd59e,Wakaryuo,3,4
1658,Sd59w,Fusanoryu,3,4
2202,Sd60e,Masuda,0,0
1575,Sd60w,Kototoyonaga,0,0
1808,Sd61e,Sakunoumi,2,5
224,Sd61w,Fujitora,4,3
207,Sd62e,Kotokusuwaka,4,3
2017,Sd62w,Yogan,4,3
1525,Sd63e,Mieasahi,2,5
1649,Sd63w,Kosenryu,5,2
1996,Sd64e,Ryuten,5,2
607,Sd64w,Hokutoryu,2,5
281,Sd65e,Takaminobori,3,4
221,Sd65w,Takayoshino,3,4
1904,Sd66e,Kototao,5,2
1951,Sd66w,Tenshoyama,2,5
243,Sd67e,Akinohana,5,2
96,Sd67w,Jumonji,4,3
106,Sd68e,Torafusuyama,5,2
107,Sd68w,Kasuganishiki,3,4
155,Sd69e,Kitaazuma,5,2
292,Sd69w,Raizan,2,5
112,Sd70e,Kishimoto,3,4
1671,Sd70w,Tochimiyama,2,4
258,Sd71e,Maeyamato,3,4
254,Sd71w,Hirota,6,1
1393,Sd72e,Daishoryu,0,0
1644,Sd72w,Chikarazuru,1,6
2078,Sd73e,Kaedeyama,0,7
127,Sd73w,Futatsukuni,0,0
2178,Sd74e,Toyoazuma,3,4
2065,Sd74w,Harunayama,4,3
1672,Sd75e,Tochinoara,0,0
1773,Sd75w,Matsunoumi,4,3
1602,Sd76e,Wakakiyama,4,3
1531,Sd76w,Konuki,2,5
554,Sd77e,Gankai,4,3
181,Sd77w,Fukuhara,5,2
1572,Sd78e,Etsunishiki,2,5
288,Sd78w,Tokotakara,4,3
210,Sd79e,Minatohana,6,1
165,Sd79w,Kawaguchi,3,4
1515,Sd80e,Fujikawa,4,3
2060,Sd80w,Etori,3,4
1566,Sd81e,Katsurafuji,3,4
377,Sd81w,Kasugaryu,4,3
2211,Sd82e,Kashimaumi,5,2
284,Sd82w,Aota,3,4
408,Sd83e,Wakatsuyoshi,2,5
1835,Sd83w,Takamishin,3,4
198,Sd84e,Azumaryu,4,3
347,Sd84w,Misugiryu,4,3
1603,Sd85e,Kazunohana,4,3
1987,Sd85w,Terui,2,5
343,Sd86e,Ezonoumi,2,5
1706,Sd86w,Fujii,3,4
297,Sd87e,Tsurunosato,6,1
478,Sd87w,Hikonoyama,3,4
1784,Sd88e,Mihohyuga,0,1
201,Sd88w,Takekaze,3,4
471,Sd89e,Hokutofuji,5,2
293,Sd89w,Komanishiki,5,2
1853,Sd90e,Maedaiwa,4,2
99,Sd90w,Ishide,6,1
350,Sd91e,Tanaka,1,6
240,Sd91w,Kida,2,5
257,Sd92e,Chiyonokuni,4,3
185,Sd92w,Yoshio,4,3
403,Sd93e,Matsumoto,4,3
326,Sd93w,Tamahikari,2,5
340,Sd94e,Kakuta,1,6
1901,Sd94w,Kosameryu,5,2
2400,Sd95e,Asahonda,3,4
213,Sd95w,Tochishimizu,4,3
473,Sd96e,Ishizawa,4,3
368,Sd96w,Kamisawa,3,4
203,Sd97e,Komai,5,2
2000,Sd97w,Tamaazuma,3,4
1715,Sd98e,Masakaze,6,1
1889,Sd98w,Fukukaze,3,4
266,Sd99e,Wakanobori,0,0
1751,Sd99w,Taketora,3,4
1890,Sd100e,Fujiryu,1,2
1746,Sd100w,Sanofuji,2,5
1420,Jd1e,Nohira,3,4
313,Jd1w,Azumayama,5,2
1650,Jd2e,Fudofuji,1,6
415,Jd2w,Yaeryu,4,3
413,Jd3e,Hanatamate,4,3
427,Jd3w,Ryushoyama,3,4
2130,Jd4e,Nishinohana,3,4
246,Jd4w,Kyokuranzan,4,3
280,Jd5e,Shimatora,4,3
358,Jd5w,Oyashiki,2,5
542,Jd6e,Akasaka,5,2
532,Jd6w,Ichinoya,2,5
1868,Jd7e,Tatsunoyama,4,3
1880,Jd7w,Maeyutaka,6,1
301,Jd8e,Takao,1,6
515,Jd8w,Wakakomatsu,2,5
228,Jd9e,Raijinyama,3,4
205,Jd9w,Fujinohana,3,4
2811,Jd10e,Wakayutaka,5,2
319,Jd10w,Koganoyama,2,5
86,Jd11e,Hiroseyama,5,2
338,Jd11w,Muto,3,4
261,Jd12e,Harimaumi,4,3
194,Jd12w,Hirabayashi,3,4
1866,Jd13e,Himenokuni,4,3
1869,Jd13w,Wakahiyu,5,2
2258,Jd14e,Imai,4,3
173,Jd14w,Takanagai,3,4
211,Jd15e,Tsukasaryu,5,2
2413,Jd15w,Kotoobata,0,0
2010,Jd16e,Shirofuji,2,5
1805,Jd16w,Maedafuji,4,3
325,Jd17e,Datenishiki,2,5
309,Jd17w,Denryu,5,2
180,Jd18e,Tomiyama,2,5
1852,Jd18w,Maefubuki,3,4
1800,Jd19e,Omikaze,3,4
2079,Jd19w,Minagawa,0,0
363,Jd20e,Tsurunomai,5,2
1501,Jd20w,Kokuryuyama,3,4
1902,Jd21e,Fusanosato,6,1
2147,Jd21w,Koryu,2,5
239,Jd22e,Maikaze,3,4
71,Jd22w,Takaozaki,6,1
2071,Jd23e,Tachinoiwa,4,3
260,Jd23w,Tochitaiho,3,4
222,Jd24e,Sumanofuji,4,3
333,Jd24w,Wakakono,4,3
1821,Jd25e,Miyagisato,4,3
400,Jd25w,Terunobori,1,6
1747,Jd26e,Tsurunishiki,4,3
232,Jd26w,Nanbara,3,4
648,Jd27e,Tensho,4,3
1832,Jd27w,Settsuriki,4,3
1886,Jd28e,Genyuzan,1,1
2272,Jd28w,Wakanoumi,5,2
1966,Jd29e,Shimanowaka,5,2
215,Jd29w,Atsumi,2,5
2182,Jd30e,Azumajo,2,5
1481,Jd30w,Izumizato,4,3
2234,Jd31e,Yoshiazuma,7,0
354,Jd31w,Azumakaze,3,4
2095,Jd32e,Momoi,2,5
1824,Jd32w,Kaioyama,2,5
2383,Jd33e,Tamasuruga,3,4
1641,Jd33w,Narutokuni,4,3
2415,Jd34e,Wakayoshino,1,6
271,Jd34w,Tatsuyamaguchi,3,4
2139,Jd35e,Tochikishu,5,2
396,Jd35w,Sumiryu,2,5
2085,Jd36e,Komoto,5,2
2783,Jd36w,Mugen,3,4
352,Jd37e,Wakahassun,4,3
2171,Jd37w,Fukurayama,3,4
468,Jd38e,Tsurunohana,4,3
158,Jd38w,Natsubori,4,3
601,Jd39e,Hosetsu,3,4
2229,Jd39w,Arakawa,5,2
306,Jd40e,Wakayuki,2,5
1760,Jd40w,Kumanonada,3,4
1574,Jd41e,Ofunayama,4,3
265,Jd41w,Hanada,5,2
182,Jd42e,Honda,1,6
317,Jd42w,Yamamoto,5,2
190,Jd43e,Wakasagara,2,5
276,Jd43w,Wakasatsuma,2,5
219,Jd44e,Takanami,5,2
90,Jd44w,Yokota,3,4
1997,Jd45e,Soryu,4,3
202,Jd45w,Teruazuma,4,3
2814,Jd46e,Kakutozan,3,4
2090,Jd46w,Hananosato,4,3
1579,Jd47e,Kozakura,4,3
2170,Jd47w,Asaosanai,3,4
249,Jd48e,Kotomiyake,3,4
2134,Jd48w,Maeotori,4,3
337,Jd49e,Tamawaka,2,5
525,Jd49w,Dewanoshin,4,3
100,Jd50e,Shinmei,5,2
412,Jd50w,Rikiazuma,1,6
1698,Jd51e,Oshiro,6,1
780,Jd51w,Terada,3,4
351,Jd52e,Imaarashi,5,2
2086,Jd52w,Shoun,3,4
2117,Jd53e,Mitsukane,3,4
2044,Jd53w,Kotowakayama,5,2
1883,Jd54e,Hidekaze,2,5
2251,Jd54w,Sakao,6,1
2514,Jd55e,Azumifuji,3,4
263,Jd55w,Ichinohana,3,4
2813,Jd56e,Harashima,4,3
2489,Jd56w,Takazato,0,0
248,Jd57e,Masunosato,0,0
397,Jd57w,Hosojima,3,4
2416,Jd58e,Kitao,0,0
418,Jd58w,Okoyama,5,2
392,Jd59e,Koshiba,4,3
401,Jd59w,Kazusafuji,4,3
231,Jd60e,Kaneda,3,4
2275,Jd60w,Maenofuji,3,4
380,Jd61e,Higo,1,6
779,Jd61w,Kuroki,4,3
342,Jd62e,Morokuma,4,3
2271,Jd62w,Fukuazuma,3,4
552,Jd63e,Amorigawa,2,5
128,Jd63w,Nishikikaze,2,5
2113,Jd64e,Kuminohana,2,5
225,Jd64w,Sekiyama,5,2
2266,Jd65e,Natsume,4,3
2096,Jd65w,Inagaki,4,3
590,Jd66e,Tatsuwatanabe,1,6
286,Jd66w,Tamatochigi,5,2
694,Jd67e,Senrisho,5,2
431,Jd67w,Shimazaki,4,3
390,Jd68e,Kamei,3,4
1882,Jd68w,Matsunofuji,4,3
2494,Jd69e,Chiba,0,4
1816,Jd69w,Hagakure,2,5
488,Jd70e,Hidemusashi,4,3
519,Jd70w,Hayate,3,4
393,Jd71e,Asanagayama,6,1
2209,Jd71w,Komanowaka,0,0
311,Jd72e,Naminoyama,4,3
2143,Jd72w,Kotokawaguchi,6,1
2356,Jd73e,Kototanigawa,2,5
1988,Jd73w,Keno,3,4
2405,Jd74e,Wakasasaki,4,3
359,Jd74w,Akaike,3,4
457,Jd75e,Watanabe,3,4
2342,Jd75w,Komatsubara,3,4
459,Jd76e,Uzumasa,4,3
2181,Jd76w,Suzuki,5,2
1929,Jd77e,Tairyuyama,5,2
230,Jd77w,Kiyoazuma,2,5
273,Jd78e,Kurihara,2,5
630,Jd78w,Tamatoriki,2,5
2023,Jd79e,Takachikara,5,2
406,Jd79w,Kisenishiki,3,4
2186,Jd80e,Yutoyama,5,2
2196,Jd80w,Minatoyama,4,3
456,Jd81e,Omusashi,4,3
336,Jd81w,Kawada,3,4
2054,Jd82e,Sato,4,3
277,Jd82w,Wakaseiryu,3,4
1926,Jd83e,Ryuhomaru,5,2
285,Jd83w,Yokoyama,2,5
495,Jd84e,Katsutanishiki,1,6
2034,Jd84w,Kunikaze,3,4
2352,Jd85e,Mitsueumi,2,5
125,Jd85w,Munakata,0,0
2069,Jd86e,Chiyonobori,6,1
1965,Jd86w,Hiryusho,4,3
2338,Jd87e,Taniazuma,4,3
279,Jd87w,Shikinohana,6,1
166,Jd88e,Wakasatoru,5,2
2355,Jd88w,Fujiwara,1,2
295,Jd89e,Kairanzan,0,0
2128,Jd89w,Harimayama,0,0
2328,Jd90e,Shuho,2,5
2458,Jd90w,Inago,3,4
498,Jd91e,Honma,4,3
2268,Jd91w,Seikoyama,3,4
2381,Jd92e,Keiryu,3,4
2417,Jd92w,Suzukiyama,0,0
2324,Jd93e,Tamura,3,4
287,Jd93w,Yamada,5,2
366,Jd94e,Haruki,3,4
474,Jd94w,Ai,4,3
544,Jd95e,Hideazuma,4,3
327,Jd95w,Wakayama,4,3
528,Jd96e,Raiho,5,2
1592,Jd96w,Sekizawa,0,0
320,Jd97e,Tominaga,0,7
2422,Jd97w,Juoyama,2,5
2213,Jd98e,Shikinosato,5,2
482,Jd98w,Seigo,3,4
217,Jd99e,Takanoumi,5,2
2242,Jd99w,Wakaminato,5,2
466,Jd100e,Azumanami,3,4
2389,Jd100w,Dewanoko,0,0
612,Jd101e,Kairyu,1,6
2445,Jd101w,Kashimatsurugi,2,5
344,Jd102e,Shokakuzan,6,1
421,Jd102w,Hishoyama,4,3
2246,Jd103e,Owarinada,0,0
2796,Jd103w,Harunofuji,3,4
2252,Jd104e,Komanobori,0,0
647,Jd104w,Kotoimura,4,3
2165,Jd105e,Torakaze,2,5
1810,Jd105w,Kitajishi,0,0
385,Jd106e,Ito,4,3
345,Jd106w,Kotani,4,3
2431,Jd107e,Ishii,1,6
2337,Jd107w,Tsurunoumi,2,5
1547,Jd108e,Suoyama,4,3
220,Jd108w,Kurosawa,3,4
435,Jd109e,Kurenoumi,1,6
218,Jd109w,Takishita,3,4
2419,Jd110e,Murata,3,4
2187,Jd110w,Homareumi,0,0
137,Jd111e,Sakata,5,2
549,Jd111w,Tamatoumi,4,3
282,Jd112e,Otsuna,5,2
2380,Jd112w,Yoshimurayama,4,3
2062,Jd113e,Takedayama,4,3
2166,Jd113w,Yoshinofuji,2,5
2305,Jd114e,Kawaki,3,4
2425,Jd114w,Uemura,4,3
464,Jd115e,Furuya,4,3
103,Jd115w,Tochifudo,3,4
139,Jd116e,Kyokuryuzan,6,1
2226,Jd116w,Wakainaba,3,4
2459,Jd117e,Goshogawara,4,3
2042,Jd117w,Suikozan,2,5
244,Jd118e,Kaishozan,5,2
1905,Jd118w,Takamiazuma,2,3
463,Jd119e,Kiriazuma,4,3
2001,Jd119w,Kibinoyama,0,0
1863,Jd120e,Shiozawa,3,4
256,Jd120w,Kotohino,3,4
2329,Jd121e,Kamatani,1,6
163,Jd121w,Suwanishiki,5,2
2410,Jd122e,Togitani,3,4
476,Jd122w,Uchizono,3,4
2447,Jd123e,Komataishin,2,5
229,Jd123w,Tokugozan,7,0
1484,Jd124e,Onoura,0,0
452,Jd124w,Oito,5,2
2364,Jd125e,Katano,3,4
2206,Jd125w,Kunimoto,4,3
2499,Jd126e,Yuki,0,0
2312,Jd126w,Ueno,4,3
720,Jd127e,Akiasahi,4,3
2306,Jd127w,Gaizan,2,5
494,Jd128e,Maji,2,5
443,Jd128w,Hanaoka,6,1
540,Jd129e,Shikinoumi,5,2
2219,Jd129w,Satakeryu,0,0
417,Jd130e,Kotoyamada,2,5
2153,Jd130w,Fujioka,3,4
