id,rank,rikishi,w,l
4,Y1e,Musashimaru,9,6
2,Y1w,Takanohana,0,0
7,O1e,Kaio,0,4
8,O1w,Chiyotaikai,4,5
6,O2e,Musoyama,10,5
842,O2w,Miyabiyama,3,7
19,S1e,Tochiazuma,12,3
31,S1w,Dejima,5,10
39,K1e,Wakanosato,7,8
152,K1w,Tamanoshima,7,8
14,M1e,Kotonowaka,7,8
878,M1w,Asashoryu,10,5
876,M2e,Kotomitsuki,13,2
71,M2w,Takanowaka,8,7
13,M3e,Tosanoumi,8,7
17,M3w,Tamakasuga,5,10
40,M4e,Kaiho,10,5
50,M4w,Tokitsuumi,9,6
5,M5e,Takanonami,5,10
10,M5w,Tochinonada,8,7
35,M6e,Kyokushuzan,6,9
38,M6w,Toki,7,8
129,M7e,Hayateumi,6,9
29,M7w,Kotoryu,9,6
41,M8e,Kyokutenho,9,6
51,M8w,Daizen,9,6
26,M9e,Higonoumi,5,10
63,M9w,Otsukasa,7,8
97,M10e,Tochinohana,0,4
15,M10w,Oginishiki,8,7
47,M11e,Chiyotenzan,8,7
9,M11w,Akinoshima,9,6
87,M12e,Wakanoyama,8,7
72,M12w,Tochisakae,0,0
70,M13e,Kitazakura,8,7
89,M13w,Aminishiki,7,8
18,M14e,Takatoriki,6,9
874,M14w,Hamanishiki,8,7
62,M15e,Daishi,5,10
116,M15w,Wakatsutomu,3,12
145,J1e,Kobo,8,7
33,J1w,Terao,7,8
96,J2e,Jumonji,0,0
138,J2w,Sentoryu,7,8
81,J3e,Wakakosho,7,8
149,J3w,Juzan,4,11
34,J4e,Asanowaka,8,7
199,J4w,Kuniazuma,0,0
251,J5e,Wakatoryu,6,9
11,J5w,Aogiyama,12,3
16,J6e,Minatofuji,6,9
58,J6w,Oikari,9,6
92,J7e,Harunoyama,8,7
64,J7w,Yotsukasa,6,9
105,J8e,Buyuzan,11,4
25,J8w,Hamanoshima,5,10
88,J9e,Tamarikido,12,3
287,J9w,Wakatoba,6,9
163,J10e,Senshuyama,3,12
69,J10w,Towanoyama,8,7
52,J11e,Tomonohana,5,10
1018,J11w,Shimotori,11,4
225,J12e,Takanotsuru,10,5
56,J12w,Masutsuyoshi,7,8
74,J13e,Kotokanyu,5,10
107,J13w,Kasuganishiki,9,6
167,Ms1e,Tamanokuni,2,5
22,Ms1w,Gojoro,6,1
875,Ms2e,Takamisakari,4,3
126,Ms2w,Tochinoyama,3,4
175,Ms3e,Ushiomaru,4,3
226,Ms3w,Wakatenro,5,2
78,Ms4e,Toyozakura,4,3
43,Ms4w,Kinkaiyama,4,3
104,Ms5e,Wakaazuma,2,5
95,Ms5w,Hidenokuni,2,5
128,Ms6e,Nishikikaze,3,4
135,Ms6w,Hokutoriki,6,1
222,Ms7e,Sumanofuji,5,2
300,Ms7w,Raido,3,4
86,Ms8e,Futatsukuba,1,6
168,Ms8w,Hokutoiwa,4,3
256,Ms9e,Kotohino,3,4
79,Ms9w,Kotoiwakuni,4,3
1009,Ms10e,Asasekiryu,4,3
80,Ms10w,Otoryu,0,0
865,Ms11e,Kasugao,4,3
76,Ms11w,Hoshitango,2,5
205,Ms12e,Goto,5,2
82,Ms12w,Tochitenko,1,6
315,Ms13e,Nadatsukasa,0,0
147,Ms13w,Minami,3,4
784,Ms14e,Daishodai,4,3
504,Ms14w,Kainowaka,1,6
68,Ms15e,Gokenzan,3,4
99,Ms15w,Komahikari,5,2
1204,Ms15TD,Kakizoe,0,0
90,Ms16e,Fukkoyama,2,5
113,Ms16w,Asofuji,5,2
365,Ms17e,Kotokuni,3,4
106,Ms17w,Torafusuyama,3,4
296,Ms18e,Yoshiazuma,5,2
180,Ms18w,Wakainami,3,4
244,Ms19e,Kaishozan,4,3
247,Ms19w,Oga,4,3
239,Ms20e,Maikaze,4,3
120,Ms20w,Aranonami,3,4
125,Ms21e,Munakata,4,3
100,Ms21w,Shinmei,3,4
101,Ms22e,Dewanofuji,4,3
132,Ms22w,Kotonomine,5,2
785,Ms23e,Furuichi,0,0
59,Ms23w,Susanoumi,1,6
380,Ms24e,Kakuo,5,2
102,Ms24w,Asahibenten,6,1
179,Ms25e,Tenichi,2,5
122,Ms25w,Daimanazuru,3,4
1087,Ms26e,Iwakiyama,6,1
73,Ms26w,Kanechika,2,5
202,Ms27e,Teruazuma,2,5
204,Ms27w,Ryuho,4,3
223,Ms28e,Musashifuji,2,5
173,Ms28w,Ryukai,3,4
119,Ms29e,Takamihana,4,3
162,Ms29w,Tamaryoma,5,2
36,Ms30e,Asanosho,4,3
339,Ms30w,Hayasegawa,3,4
218,Ms31e,Wakakinryu,5,2
