id,rank,rikishi,w,l
4,Y1e,Musashimaru,13,2
2,Y1w,Takanohana,0,0
6,O1e,Musoyama,9,6
8,O1w,Chiyotaikai,0,0
7,O2e,Kaio,10,5
19,S1e,Tochiazuma,12,3
876,S1w,Kotomitsuki,9,6
842,S2w,Miyabiyama,0,0
878,K1e,Asashoryu,10,5
40,K1w,Kaiho,5,10
39,M1e,Wakanosato,10,5
152,M1w,Tamanoshima,7,8
71,M2e,Takanowaka,6,9
13,M2w,Tosanoumi,5,10
50,M3e,Tokitsuumi,2,13
31,M3w,Dejima,7,8
14,M4e,Kotonowaka,7,8
10,M4w,Tochinonada,7,8
29,M5e,Kotoryu,1,1
41,M5w,Kyokutenho,8,7
51,M6e,Daizen,6,9
9,M6w,Akinoshima,8,7
17,M7e,Tamakasuga,6,9
38,M7w,Toki,8,7
15,M8e,Oginishiki,5,10
47,M8w,Chiyotenzan,8,7
35,M9e,Kyokushuzan,10,5
87,M9w,Wakanoyama,6,9
5,M10e,Takanonami,9,6
129,M10w,Hayateumi,8,2
63,M11e,Otsukasa,8,7
70,M11w,Kitazakura,5,10
874,M12e,Hamanishiki,7,8
72,M12w,Tochisakae,7,8
11,M13e,Aogiyama,4,11
26,M13w,Higonoumi,4,8
145,M14e,Kobo,8,7
89,M14w,Aminishiki,8,7
88,M15e,Tamarikido,8,7
105,M15w,Buyuzan,10,5
18,J1e,Takatoriki,7,8
34,J1w,Asanowaka,9,6
96,J2e,Jumonji,8,7
33,J2w,Terao,0,0
58,J3e,Oikari,11,4
138,J3w,Sentoryu,8,7
62,J4e,Daishi,6,9
199,J4w,Kuniazuma,7,8
81,J5e,Wakakosho,7,8
1018,J5w,Shimotori,8,7
97,J6e,Tochinohana,0,0
92,J6w,Harunoyama,7,8
116,J7e,Wakatsutomu,2,13
225,J7w,Takanotsuru,6,9
69,J8e,Towanoyama,9,6
107,J8w,Kasuganishiki,7,8
251,J9e,Wakatoryu,3,3
149,J9w,Juzan,7,8
16,J10e,Minatofuji,8,7
22,J10w,Gojoro,6,9
64,J11e,Yotsukasa,3,12
226,J11w,Wakatenro,7,8
287,J12e,Wakatoba,7,8
875,J12w,Takamisakari,10,5
56,J13e,Masutsuyoshi,5,10
25,J13w,Hamanoshima,9,6
135,Ms1e,Hokutoriki,5,2
175,Ms1w,Ushiomaru,5,2
222,Ms2e,Sumanofuji,5,2
78,Ms2w,Toyozakura,3,4
43,Ms3e,Kinkaiyama,3,4
52,Ms3w,Tomonohana,0,0
205,Ms4e,Goto,5,2
168,Ms4w,Hokutoiwa,4,3
79,Ms5e,Kotoiwakuni,2,5
74,Ms5w,Kotokanyu,6,1
269,Ms6e,Hokutoarashi,1,6
126,Ms6w,Tochinoyama,4,3
1009,Ms7e,Asasekiryu,3,4
163,Ms7w,Senshuyama,4,3
99,Ms8e,Komahikari,6,1
865,Ms8w,Kasugao,2,5
102,Ms9e,Asahibenten,2,5
113,Ms9w,Asofuji,3,4
1087,Ms10e,Iwakiyama,5,2
80,Ms10w,Otoryu,3,4
167,Ms11e,Tamanokuni,4,3
296,Ms11w,Yoshiazuma,2,5
784,Ms12e,Daishodai,5,2
128,Ms12w,Nishikikaze,1,6
315,Ms13e,Nadatsukasa,0,0
300,Ms13w,Raido,4,3
27,Ms14e,Wakanojo,3,4
132,Ms14w,Kotonomine,4,3
380,Ms15e,Kakuo,5,2
256,Ms15w,Kotohino,4,3
104,Ms16e,Wakaazuma,3,4
244,Ms16w,Kaishozan,2,5
95,Ms17e,Hidenokuni,3,4
247,Ms17w,Oga,5,2
